0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Cu:1202.7,Pd:1196.0,Nb:653.6,Zr:337.7,Ni:323.9,P :299.6,Ta:284.2,Mo:253.5,P :241.6,W_:185.5,Sn:160.9,Si:158.8,Sn:158.4,I_:157.7,,,,,,,
Nb:642.2,I_:548.3,Ni:350.0,Ta:323.2,V_:206.9,,,,,,,,,,,,,,,,
Nb:640.2,Ti:463.5,Ni:246.5,K :197.4,W_:178.5,K :170.0,In:169.7,Ge:150.2,,,,,,,,,,,,,
Mo:5661.1,Ti:860.7,Nb:638.1,Ni:371.4,I_:313.9,In:169.9,Si:167.1,Fe:152.3,,,,,,,,,,,,,
Nb:629.0,Ti:245.2,Ni:237.8,Ta:153.0,,,,,,,,,,,,,,,,,
Nb:602.6,Ni:236.1,,,,,,,,,,,,,,,,,,,
Ti:996.9,Nb:599.1,Ni:472.2,In:350.2,Co:306.9,Sn:237.2,Fe:222.9,Pd:219.9,Ag:207.4,W_:178.9,Sb:171.5,Sb:169.8,Ca:165.0,Si:156.1,,,,,,,
Nb:584.4,Ni:216.6,Ti:155.6,,,,,,,,,,,,,,,,,,
Zr:1255.3,Nb:583.4,Bi:315.0,Ni:260.4,Mo:208.9,Ge:160.6,,,,,,,,,,,,,,,
Nb:583.1,Fe:545.7,Ti:542.1,In:216.5,Sn:200.7,Sb:170.1,Sn:152.6,,,,,,,,,,,,,,
I_:1032.1,W_:873.2,Pd:702.2,Pt:668.3,Pd:618.7,Nb:579.9,In:564.2,In:513.2,Fe:513.1,Sn:493.4,Si:484.2,S :474.1,S :432.2,Zr:415.3,K :412.3,Sb:349.9,Ge:200.8,Zn:198.8,Zn:189.3,P :167.3,P :153.1
Ti:1339.2,V_:1322.6,Nb:573.6,W_:381.6,Ca:315.1,Ni:306.5,Sb:203.5,Zr:201.4,Bi:177.8,P :158.5,,,,,,,,,,,
C_:908.4,V_:800.6,Nb:573.5,Ge:493.1,Ni:323.0,W_:291.8,I_:272.6,Cu:238.6,S :236.7,Sb:215.3,Sb:167.1,Pb:155.3,,,,,,,,,
Mo:667.7,Nb:543.0,Pt:265.1,Zr:255.2,Si:250.2,Pd:246.7,Ni:219.4,In:206.8,I_:185.8,S :167.8,K :160.5,,,,,,,,,,
Ca:8549.3,Sn:1300.3,Nb:530.3,Ti:335.6,Pb:217.7,S :215.7,Sb:158.4,K :152.4,,,,,,,,,,,,,
Zr:3082.4,K :2724.8,Mo:1459.8,Nb:530.0,Zn:516.9,Ti:483.8,In:445.2,Bi:436.5,Cr:399.8,C_:326.0,Pb:305.5,Pd:292.8,Ca:280.5,W_:272.8,Sn:212.7,Pt:192.6,,,,,
