0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Ti:1339.2,V_:1322.6,Nb:573.6,W_:381.6,Ca:315.1,Ni:306.5,Sb:203.5,Zr:201.4,Bi:177.8,P :158.5,,,,,,,,,,,,,,,,,
Ti:1109.2,W_:284.7,Sb:201.4,In:167.8,,,,,,,,,,,,,,,,,,,,,,,
Ti:306.0,Sb:195.7,,,,,,,,,,,,,,,,,,,,,,,,,
Mo:262.2,Sb:193.9,Sn:174.3,I_:169.6,K :153.4,S :151.8,,,,,,,,,,,,,,,,,,,,,
Nb:4740.9,Zr:3896.9,Ni:1716.7,V_:557.3,W_:312.0,Ti:272.9,Co:272.3,Sn:226.9,Sb:191.1,Ta:181.0,Fe:155.6,,,,,,,,,,,,,,,,
W_:209.2,In:207.4,Sb:185.7,Pd:178.8,Zr:160.4,,,,,,,,,,,,,,,,,,,,,,
S :506.8,Mo:471.0,Ca:211.6,Sb:184.7,Sn:150.9,,,,,,,,,,,,,,,,,,,,,,
Ti:342.1,Ti:312.0,Nb:259.1,P :228.2,Fe:209.5,Sb:183.9,,,,,,,,,,,,,,,,,,,,,
Ge:1110.9,Ti:312.0,Ta:286.9,Nb:259.1,Sb:180.9,Si:154.8,,,,,,,,,,,,,,,,,,,,,
Ta:204.3,Sb:180.7,C_:168.0,In:164.2,,,,,,,,,,,,,,,,,,,,,,,
Au:2141.8,Mo:342.2,W_:272.0,Ge:270.2,I_:248.5,Bi:246.6,Zr:225.4,Ta:208.4,Sb:179.4,Si:178.4,S :170.7,Co:151.5,,,,,,,,,,,,,,,
V_:752.8,W_:200.2,Fe:182.3,Sb:179.0,Sn:164.7,,,,,,,,,,,,,,,,,,,,,,
Ti:494.1,Ti:473.4,Pb:256.2,W_:193.3,S :186.8,In:185.8,Sb:176.3,Sn:162.4,,,,,,,,,,,,,,,,,,,
Nb:1843.2,Mo:976.8,Ni:839.9,Ta:493.3,Cu:386.0,Ca:283.3,I_:248.9,Bi:233.9,Sb:175.7,Ag:173.9,,,,,,,,,,,,,,,,,
V_:203.0,Nb:192.0,Sb:175.2,K :171.2,,,,,,,,,,,,,,,,,,,,,,,
Zr:289.5,Nb:288.1,Sb:172.4,,,,,,,,,,,,,,,,,,,,,,,,
Ti:996.9,Zr:732.9,Nb:599.1,Ni:472.2,Pt:427.0,In:350.2,W_:283.7,Sn:237.2,Fe:228.4,Fe:222.9,Pd:219.9,W_:178.9,Sb:171.5,Si:156.1,,,,,,,,,,,,,
Cd:8882.9,Ti:1110.1,Bi:561.4,Nb:342.0,Zr:281.2,Si:234.6,Ni:233.6,Sb:170.2,,,,,,,,,,,,,,,,,,,
Nb:583.1,Fe:545.7,Ti:542.1,Ti:388.2,In:216.5,Sn:200.7,In:195.4,Sb:170.1,,,,,,,,,,,,,,,,,,,
Ti:996.9,Nb:599.1,Ni:472.2,In:350.2,Co:306.9,Sn:237.2,Fe:222.9,Ag:207.4,Pd:191.9,W_:178.9,Sb:169.8,Sn:166.8,Ca:165.0,,,,,,,,,,,,,,
Ca:1925.3,K :173.3,Sb:169.6,,,,,,,,,,,,,,,,,,,,,,,,
Ti:2120.2,Nb:1506.8,Ni:886.9,Fe:565.4,W_:256.9,K :186.5,Sb:169.4,Cu:166.6,,,,,,,,,,,,,,,,,,,
V_:1577.9,Ti:818.4,Sb:168.8,,,,,,,,,,,,,,,,,,,,,,,,
Nb:573.5,Ni:323.0,Nb:294.4,Ge:277.6,Cu:238.6,S :236.7,Zr:223.4,Cu:192.6,Au:168.8,Sb:167.1,Pb:155.3,,,,,,,,,,,,,,,,
Ti:1250.6,Nb:913.9,Ni:441.5,W_:321.4,Ta:309.7,K :304.9,Sn:236.9,Pd:236.2,Zr:190.2,Pt:174.2,In:168.9,Sb:165.8,,,,,,,,,,,,,,,
Mo:717.5,Ta:175.9,Sb:165.4,Si:160.7,In:158.6,Pt:151.7,Co:151.1,,,,,,,,,,,,,,,,,,,,
Ti:1368.6,Nb:842.0,Cr:781.3,Ni:407.4,Ni:317.9,S :281.5,Mo:196.1,I_:167.2,Si:167.1,Sb:164.5,Si:162.6,,,,,,,,,,,,,,,,
Ca:4236.6,V_:518.8,Nb:227.2,K :206.6,Fe:204.1,I_:200.9,Pt:181.1,Pb:165.2,W_:161.9,Sb:161.3,In:158.2,,,,,,,,,,,,,,,,
V_:247.8,Zr:226.0,Sb:160.8,,,,,,,,,,,,,,,,,,,,,,,,
W_:251.7,Pt:209.2,In:188.9,Sn:185.7,Pd:184.3,Ti:179.7,Pt:174.5,Sb:160.4,S :155.1,,,,,,,,,,,,,,,,,,
W_:282.5,Sn:251.8,In:241.1,Fe:230.9,Pd:225.1,In:198.7,I_:192.3,Pt:166.6,Pt:166.4,Sb:160.3,Zr:157.9,Si:150.5,,,,,,,,,,,,,,,
Ta:461.4,S :248.8,Nb:227.5,Ni:174.9,Pd:166.8,Sb:160.3,I_:154.2,Si:153.7,,,,,,,,,,,,,,,,,,,
Nb:1455.9,Si:1101.9,Ni:855.8,Mo:711.5,Pt:403.6,W_:246.1,S :239.7,In:178.5,Bi:176.9,Sn:160.9,Sb:160.1,,,,,,,,,,,,,,,,
Ca:8549.3,Sn:1300.3,Nb:530.3,Ti:335.6,Pb:250.7,In:227.7,Pb:217.7,S :215.7,Sb:158.4,,,,,,,,,,,,,,,,,,
Nb:1487.4,Nb:906.7,Ni:634.6,Ti:297.1,Zr:274.0,W_:225.2,Ca:213.2,Si:186.0,Sb:156.9,Pt:153.7,,,,,,,,,,,,,,,,,
Ti:1804.9,Zr:218.3,Sb:156.2,,,,,,,,,,,,,,,,,,,,,,,,
Nb:424.7,In:168.1,Ni:158.3,Sb:155.8,Si:150.9,,,,,,,,,,,,,,,,,,,,,,
Zr:441.8,Ti:391.9,W_:153.2,Sb:152.8,,,,,,,,,,,,,,,,,,,,,,,
In:1084.3,Ti:983.0,Ni:455.6,Ca:323.5,Cr:278.1,P :274.8,Zr:223.7,Sn:204.9,Fe:198.0,W_:187.8,Bi:173.5,Pt:171.5,Pd:167.5,Sb:151.8,,,,,,,,,,,,,
Ti:3468.9,V_:313.2,Pt:250.8,Ge:204.8,W_:200.5,Bi:176.9,S :176.1,Sb:150.6,,,,,,,,,,,,,,,,,,,
Ti:1318.6,I_:530.9,I_:496.6,Co:397.7,In:154.7,Sb:150.2,,,,,,,,,,,,,,,,,,,,,
Nb:1843.2,V_:1134.7,Ni:839.9,Ta:493.3,Pd:443.4,Cu:372.4,Ca:283.3,Bi:275.6,Ca:199.4,Si:195.6,I_:177.9,Co:170.2,S :165.2,Ag:163.4,Zr:151.7,Sb:150.1,,,,,,,,,,,
Ca:3873.4,Ca:3004.9,Ta:349.0,Nb:264.0,Fe:186.2,Zr:180.8,Mo:166.8,Fe:154.1,Sb:150.1,,,,,,,,,,,,,,,,,,
