0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Mo:667.7,Nb:543.0,Pt:265.1,Zr:255.2,Si:250.2,Pd:246.7,Ni:219.4,In:206.8,I_:185.8,S :167.8,K :160.5,,,,,,,,,,,,,
In:233.6,I_:182.9,,,,,,,,,,,,,,,,,,,,,,
Ag:6718.5,Bi:4512.6,Cr:1707.4,S :349.6,S :326.6,Si:295.5,Pt:292.0,Pd:278.7,Sn:247.5,W_:236.5,Ge:197.7,Fe:192.2,I_:180.6,V_:171.1,Ni:159.8,,,,,,,,,
Nb:705.5,Ni:400.0,Pd:364.1,In:286.7,Pt:283.1,K :254.4,Sb:248.8,Mo:189.4,I_:179.2,Si:160.9,,,,,,,,,,,,,,
Nb:1884.4,Fe:1450.8,V_:1134.7,Ni:979.3,Pd:443.4,Cu:372.4,Cu:286.4,Bi:275.6,Bi:271.5,Ca:199.4,Si:195.6,W_:186.7,I_:177.9,Co:170.2,S :165.2,Ag:163.4,Zr:151.7,Sb:150.1,,,,,,
Ca:6109.5,Zr:354.9,Ti:274.3,K :205.5,I_:169.9,,,,,,,,,,,,,,,,,,,
Nb:705.5,Ni:400.0,Pd:364.1,Sb:193.9,Sn:174.3,I_:169.6,Si:160.9,K :153.4,S :151.8,,,,,,,,,,,,,,,
Pd:516.5,Ta:513.0,Bi:366.3,Sn:236.5,Sb:232.3,S :214.0,Si:191.7,Pt:181.5,Ge:170.6,I_:168.0,Zn:154.0,,,,,,,,,,,,,
V_:2807.7,Nb:1582.9,Ni:718.5,Ti:445.0,W_:270.0,In:200.3,Pt:186.6,Mo:183.2,Fe:181.1,K :179.3,Pd:173.0,I_:167.7,Zr:162.7,,,,,,,,,,,
Nb:4130.7,Ni:2083.5,S :876.6,Ta:220.0,W_:209.2,In:199.9,Pd:189.0,I_:167.6,Pt:155.6,,,,,,,,,,,,,,,
Fe:967.6,Nb:252.5,I_:167.6,Sn:160.8,In:154.0,,,,,,,,,,,,,,,,,,,
Ti:681.4,Ni:491.5,Fe:384.4,Sn:208.5,W_:200.2,Zn:171.3,I_:167.4,,,,,,,,,,,,,,,,,
Nb:797.9,Ni:443.6,S :418.1,Pd:339.5,In:301.3,Pt:283.3,Sb:275.7,Sn:268.3,Zr:234.1,Si:227.3,K :207.3,I_:167.2,W_:152.8,Fe:151.3,,,,,,,,,,
Ti:1368.6,Cr:781.3,Ni:317.9,Zr:196.8,Fe:186.8,I_:167.2,Sb:164.5,Si:162.6,,,,,,,,,,,,,,,,
Zr:421.1,Fe:358.7,Sb:281.7,K :276.6,Ta:199.9,Ni:187.4,P :171.6,Zn:167.7,I_:166.8,,,,,,,,,,,,,,,
Ti:231.4,I_:163.0,Si:152.8,W_:152.0,,,,,,,,,,,,,,,,,,,,
Nb:1875.0,Ni:1035.5,Ti:248.1,W_:242.5,In:227.7,Pt:216.4,Pb:188.0,I_:161.7,,,,,,,,,,,,,,,,
I_:161.0,,,,,,,,,,,,,,,,,,,,,,,
Nb:477.9,Zr:306.5,Pd:297.4,S :239.1,Ni:238.4,Ti:216.9,K :190.3,I_:158.5,,,,,,,,,,,,,,,,
Zr:892.2,V_:357.7,W_:240.9,P :186.2,K :186.2,Si:173.2,Pd:167.5,I_:158.3,S :154.6,,,,,,,,,,,,,,,
Cu:1202.7,Pd:1196.0,Nb:842.0,Nb:653.6,Ni:407.4,Zr:337.7,Ni:323.9,P :299.6,Ta:284.2,S :281.5,Mo:196.1,W_:185.5,Si:167.1,Sn:160.9,I_:157.7,,,,,,,,,
Mo:492.8,Si:316.4,Cu:283.6,Zr:266.1,Pb:251.4,Sb:246.7,Pt:244.6,Pd:209.3,In:183.0,Sn:178.1,Ge:175.1,K :158.4,I_:156.7,Fe:153.3,,,,,,,,,,
Ti:6163.5,Ta:558.9,W_:340.6,Si:210.7,Sn:185.0,Zr:179.5,I_:156.0,In:153.8,Cu:152.0,,,,,,,,,,,,,,,
Ta:368.5,Nb:357.4,Ni:301.6,Ti:191.1,W_:162.1,I_:155.9,Pd:150.6,,,,,,,,,,,,,,,,,
Ti:720.0,Ca:197.2,Nb:157.4,I_:155.0,,,,,,,,,,,,,,,,,,,,
Sb:1695.4,Ca:373.1,Pd:181.9,W_:181.0,I_:154.6,,,,,,,,,,,,,,,,,,,
Ti:472.3,Zr:411.6,W_:249.0,I_:154.6,,,,,,,,,,,,,,,,,,,,
Ti:3468.9,Nb:1419.7,Zr:1320.3,Ni:741.3,Au:507.2,V_:313.2,Cd:288.6,S :211.4,I_:154.4,Ge:150.8,,,,,,,,,,,,,,
Nb:1110.4,Ni:552.6,Ti:485.7,Si:155.3,I_:154.3,K :153.7,,,,,,,,,,,,,,,,,,
Ti:3083.1,Pd:339.5,Pt:283.3,Zr:282.3,In:281.9,Sb:272.8,Sn:272.6,K :257.0,I_:154.2,W_:152.8,Fe:151.3,,,,,,,,,,,,,
W_:980.5,S :248.8,Nb:227.5,Ni:174.9,Pd:166.8,Sb:160.3,I_:154.2,,,,,,,,,,,,,,,,,
Ca:3004.9,Nb:746.0,V_:605.8,Ni:471.4,Sn:240.5,Fe:186.2,Mo:166.8,W_:162.9,I_:152.8,,,,,,,,,,,,,,,
W_:289.9,In:238.0,Pd:210.6,Sn:207.2,S :205.2,Ti:181.2,Nb:172.5,Pt:162.2,I_:152.2,,,,,,,,,,,,,,,
Mo:5661.1,V_:613.4,S :477.6,W_:213.9,I_:150.1,,,,,,,,,,,,,,,,,,,
