0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Ca:3961.3,Nb:499.1,I_:371.3,Ni:325.6,Pd:224.4,S :205.6,Au:203.9,V_:162.8,Pt:161.0,Ta:155.8,K :152.2,,,,,,,,,,,,,,,,
W_:289.9,In:238.0,Pd:210.6,Sn:207.2,S :205.2,Ti:181.2,Nb:172.5,Pt:162.2,I_:152.2,,,,,,,,,,,,,,,,,,
I_:816.5,Ti:630.9,In:254.5,W_:234.3,Co:220.7,S :204.8,Zr:168.5,Sn:152.6,,,,,,,,,,,,,,,,,,,
W_:267.8,S :203.5,Al:194.7,Sn:193.5,,,,,,,,,,,,,,,,,,,,,,,
Ti:843.0,K :328.4,K :296.9,Pt:242.7,S :201.3,W_:200.8,Sn:184.0,Cu:164.3,,,,,,,,,,,,,,,,,,,
Ti:494.5,Pt:352.2,Nb:294.5,Fe:245.1,Sn:241.3,Pd:197.8,S :197.0,Ta:186.4,In:165.0,,,,,,,,,,,,,,,,,,
Ti:4247.0,W_:980.5,Ca:481.3,Ni:197.3,S :196.6,Pt:167.4,Fe:158.3,,,,,,,,,,,,,,,,,,,,
Ti:579.6,Zr:561.3,In:226.2,Sn:212.8,Pd:199.0,S :192.7,W_:170.5,,,,,,,,,,,,,,,,,,,,
Ca:394.7,Ta:262.3,W_:224.6,Si:191.3,S :190.4,K :181.8,,,,,,,,,,,,,,,,,,,,,
Nb:1123.6,Ti:539.0,W_:217.2,S :190.0,Al:180.4,Ge:157.6,,,,,,,,,,,,,,,,,,,,,
Ti:215.6,S :187.8,Zr:187.2,Ca:177.9,Si:174.6,Sn:161.8,,,,,,,,,,,,,,,,,,,,,
Ti:473.4,Pb:256.2,Pb:225.8,W_:193.3,S :186.8,In:185.8,Sb:176.3,,,,,,,,,,,,,,,,,,,,
Mo:1274.3,Nb:444.7,Zr:369.9,Ni:247.9,S :181.8,,,,,,,,,,,,,,,,,,,,,,
Nb:836.6,Ti:681.4,Ni:491.5,Pd:420.0,Fe:384.4,W_:307.2,K :244.1,Al:235.1,Sn:208.5,Mo:198.1,Fe:192.9,S :178.9,Zn:171.3,,,,,,,,,,,,,,
Ti:843.0,K :296.9,Ta:287.1,W_:270.2,Nb:229.9,S :178.0,,,,,,,,,,,,,,,,,,,,,
Ti:3468.9,V_:313.2,Pt:250.8,Ge:204.8,W_:200.5,Bi:176.9,S :176.1,Sb:150.6,,,,,,,,,,,,,,,,,,,
K :888.8,Nb:695.7,W_:512.4,Ni:331.1,Ti:241.6,S :175.7,,,,,,,,,,,,,,,,,,,,,
Nb:1875.0,Ni:1035.5,W_:252.5,Ti:239.2,In:193.7,Pb:188.0,S :173.5,Bi:150.4,,,,,,,,,,,,,,,,,,,
Zr:892.2,Fe:686.7,V_:357.7,W_:240.9,K :186.2,S :173.2,Si:173.2,Pd:167.5,,,,,,,,,,,,,,,,,,,
W_:1732.4,Ti:708.8,S :173.2,Pt:158.8,In:155.9,,,,,,,,,,,,,,,,,,,,,,
Ti:542.3,S :171.1,,,,,,,,,,,,,,,,,,,,,,,,,
Au:2141.8,W_:272.0,Ge:270.2,Ag:250.5,I_:248.5,Bi:246.6,Zr:225.4,Ta:208.4,Sb:179.4,Si:178.4,S :170.7,Co:151.5,,,,,,,,,,,,,,,
S :170.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Ti:1409.4,I_:581.6,Nb:221.7,Ta:185.2,S :170.3,,,,,,,,,,,,,,,,,,,,,,
Sn:340.7,S :170.2,W_:169.9,Ti:166.6,,,,,,,,,,,,,,,,,,,,,,,
I_:1606.3,In:395.3,Sn:383.6,Pt:356.5,Pd:351.3,Si:340.1,Sb:329.3,Fe:272.1,K :218.1,Zr:205.0,S :169.8,,,,,,,,,,,,,,,,
Zr:756.3,Ta:581.0,Pt:293.9,In:190.9,Sn:186.1,S :169.3,,,,,,,,,,,,,,,,,,,,,
Nb:1520.2,Ca:897.9,Ni:775.7,W_:419.0,Bi:185.8,S :168.5,Cu:164.7,Ag:163.9,,,,,,,,,,,,,,,,,,,
W_:1054.9,Ti:691.2,Nb:499.4,K :479.9,Sn:298.6,In:221.9,Fe:194.1,Pt:170.5,Pd:168.3,S :167.9,Ta:156.1,,,,,,,,,,,,,,,,
Zr:946.4,Ca:393.0,Ta:210.1,S :167.8,,,,,,,,,,,,,,,,,,,,,,,
Mo:667.7,Nb:543.0,Pt:265.1,Zr:255.2,Si:250.2,Pd:246.7,Ni:219.4,In:206.8,I_:185.8,S :167.8,K :160.5,,,,,,,,,,,,,,,,
Nb:477.9,Pt:273.8,Si:263.9,Ni:238.4,Ti:170.4,S :167.5,In:167.2,Zr:156.3,K :150.9,,,,,,,,,,,,,,,,,,
Pb:1077.7,Nb:687.3,W_:554.9,Ni:364.9,In:219.3,S :167.2,K :156.0,Si:155.0,Ta:152.9,,,,,,,,,,,,,,,,,,
Nb:1884.4,Fe:1450.8,V_:1134.7,Ni:979.3,Pd:443.4,Cu:372.4,Cu:286.4,Bi:275.6,Bi:271.5,Ca:199.4,Si:195.6,W_:186.7,I_:177.9,Co:170.2,S :165.2,Ag:163.4,Zr:151.7,Sb:150.1,,,,,,,,,
Ta:1315.8,Ti:344.3,In:198.7,I_:192.3,In:181.7,Pt:166.6,S :165.1,Pd:164.8,Si:150.5,,,,,,,,,,,,,,,,,,
Nb:234.8,W_:191.6,S :164.2,,,,,,,,,,,,,,,,,,,,,,,,
Nb:3797.1,Ni:1882.4,C_:289.4,Zr:215.5,Pb:173.3,Ti:168.3,S :164.1,W_:160.2,,,,,,,,,,,,,,,,,,,
I_:581.6,Nb:221.7,S :162.7,,,,,,,,,,,,,,,,,,,,,,,,
Ti:738.0,Nb:423.2,Au:242.9,Ni:203.9,S :162.7,In:162.4,,,,,,,,,,,,,,,,,,,,,
V_:217.0,Nb:212.3,S :161.4,Pd:157.0,,,,,,,,,,,,,,,,,,,,,,,
V_:196.0,S :160.6,In:150.5,,,,,,,,,,,,,,,,,,,,,,,,
Ti:1409.4,Zr:239.7,S :158.0,W_:156.3,,,,,,,,,,,,,,,,,,,,,,,
Ti:1481.3,V_:919.0,Nb:389.3,Ta:176.1,Ag:164.8,Pd:162.5,S :156.9,,,,,,,,,,,,,,,,,,,,
Ti:1430.4,Fe:451.2,Si:241.7,In:170.6,Sn:165.1,S :155.7,Pt:151.7,Bi:150.9,K :150.9,,,,,,,,,,,,,,,,,,
Nb:356.6,Pd:302.3,Fe:201.2,Ni:181.6,S :155.7,,,,,,,,,,,,,,,,,,,,,,
W_:251.7,In:188.9,Sn:185.7,Pd:184.3,Ti:179.7,Pt:174.5,Sb:160.4,S :155.1,,,,,,,,,,,,,,,,,,,
Ti:397.4,W_:270.4,S :154.6,Pd:151.4,Zr:150.3,,,,,,,,,,,,,,,,,,,,,,
Zr:892.2,V_:357.7,W_:240.9,P :186.2,K :186.2,Si:173.2,Pd:167.5,I_:158.3,S :154.6,,,,,,,,,,,,,,,,,,
Sb:2852.8,Ca:321.9,V_:256.7,S :153.6,,,,,,,,,,,,,,,,,,,,,,,
Nb:753.7,Fe:668.9,V_:614.7,Ti:551.3,C_:481.3,Ni:444.2,Pb:285.9,Ta:220.9,Bi:155.3,S :153.1,,,,,,,,,,,,,,,,,
Ta:217.3,W_:158.7,S :153.0,,,,,,,,,,,,,,,,,,,,,,,,
Ti:394.1,Sb:290.5,Zr:285.7,W_:284.7,Si:200.2,Sn:186.8,In:167.8,S :152.6,,,,,,,,,,,,,,,,,,,
Mo:262.2,Sb:193.9,Sn:174.3,I_:169.6,K :153.4,S :151.8,,,,,,,,,,,,,,,,,,,,,
Fe:441.6,Ni:291.2,Ti:228.2,W_:225.4,In:165.2,S :151.7,,,,,,,,,,,,,,,,,,,,,
Nb:333.7,Ti:296.1,V_:214.2,Ca:185.4,S :151.6,,,,,,,,,,,,,,,,,,,,,,
V_:741.1,W_:531.8,V_:406.6,S :151.4,,,,,,,,,,,,,,,,,,,,,,,
Ta:997.7,Nb:360.6,Ni:276.4,Ni:190.4,Zr:164.4,S :150.7,,,,,,,,,,,,,,,,,,,,,
