0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Nb:4861.6,Ni:1984.7,Zr:905.9,K :483.1,Cu:394.1,In:215.7,Pt:192.4,Sn:185.1,,,,,,,,,,,,,,,,,,,
Ti:6163.5,Ta:558.9,W_:340.6,Si:210.7,Sn:185.0,Zr:179.5,I_:156.0,In:153.8,Cu:152.0,,,,,,,,,,,,,,,,,,
K :328.4,Pt:242.7,S :201.3,W_:200.8,Fe:192.9,Sn:184.0,Cu:164.3,,,,,,,,,,,,,,,,,,,,
S :561.7,Nb:437.9,Mo:213.9,Sn:183.0,,,,,,,,,,,,,,,,,,,,,,,
Nb:1972.8,Ni:1031.7,Sb:266.7,Pb:257.0,Zr:234.9,In:230.0,I_:225.0,Ta:216.3,Pt:203.5,Pd:203.4,Si:198.4,Ge:189.2,Sn:180.4,,,,,,,,,,,,,,
Nb:4130.7,Ni:2083.5,W_:328.3,Fe:311.6,Ta:220.0,In:181.0,Sn:179.6,Pd:176.9,Si:150.4,,,,,,,,,,,,,,,,,,
Mo:492.8,Si:316.4,Cu:283.6,S :273.4,Zr:266.1,I_:259.5,Pb:251.4,Sb:246.7,Pt:244.6,Pd:209.3,In:183.0,P :179.9,Sn:178.1,Ge:175.1,K :158.4,I_:156.7,Fe:153.3,,,,,,,,,,
Cu:8747.5,Nb:1427.2,K :1088.2,Ni:700.2,I_:478.3,Fe:393.5,Mo:351.1,Ta:303.0,Pd:259.0,V_:256.8,W_:209.2,Pt:178.8,Sn:177.6,Pb:176.2,Zr:156.6,,,,,,,,,,,,
Ca:1608.6,Zr:259.4,Sn:176.5,,,,,,,,,,,,,,,,,,,,,,,,
Fe:1001.9,W_:234.3,Sb:217.2,S :214.7,Ni:187.1,Sn:175.4,Si:170.1,Ta:152.9,,,,,,,,,,,,,,,,,,,
Nb:705.5,Ni:400.0,Pd:364.1,Sb:193.9,Sn:174.3,I_:169.6,Si:160.9,K :153.4,S :151.8,,,,,,,,,,,,,,,,,,
Ti:2416.8,Nb:2033.5,Ni:769.7,V_:474.7,Mo:419.5,Fe:270.5,Ta:209.5,Pd:186.2,Sn:170.9,Au:169.7,Pt:154.7,,,,,,,,,,,,,,,,
V_:971.7,Nb:295.8,Ni:263.4,Ta:217.3,Sn:170.0,,,,,,,,,,,,,,,,,,,,,,
Zr:6177.2,Ti:4551.3,Nb:2539.4,V_:1941.3,Ni:1283.1,Fe:902.8,Bi:205.4,Bi:191.3,Al:180.9,Mo:174.2,Sn:168.5,,,,,,,,,,,,,,,,
Cu:3196.6,Ta:368.5,Ti:191.1,Sn:168.3,Pd:162.4,W_:162.1,,,,,,,,,,,,,,,,,,,,,
Co:306.9,Ag:207.4,Pd:191.9,Sb:169.8,Sn:166.8,Ca:165.0,,,,,,,,,,,,,,,,,,,,,
Ti:1430.4,Nb:1286.5,Ni:573.0,Fe:451.2,Si:241.7,In:170.6,Sn:165.1,S :155.7,Bi:150.9,K :150.9,,,,,,,,,,,,,,,,,
V_:752.8,W_:200.2,Fe:182.3,Sb:179.0,Sn:164.7,,,,,,,,,,,,,,,,,,,,,,
Pd:170.4,Sn:163.2,,,,,,,,,,,,,,,,,,,,,,,,,
Ca:1361.8,Ti:494.1,Pb:256.2,In:185.8,Sb:176.3,Sn:162.4,,,,,,,,,,,,,,,,,,,,,
Ti:215.6,S :187.8,Zr:187.2,Ca:177.9,Si:174.6,Sn:161.8,,,,,,,,,,,,,,,,,,,,,
Cu:1202.7,Pd:1196.0,Nb:842.0,Nb:653.6,Ni:407.4,Zr:337.7,Ni:323.9,P :299.6,Ta:284.2,S :281.5,Mo:196.1,W_:185.5,Si:167.1,Sn:160.9,I_:157.7,,,,,,,,,,,,
Nb:1455.9,Si:1101.9,Ni:855.8,Mo:711.5,Pt:403.6,W_:246.1,S :239.7,In:178.5,Sn:160.9,Sb:160.1,,,,,,,,,,,,,,,,,
Fe:967.6,Nb:252.5,I_:167.6,Sn:160.8,In:154.0,,,,,,,,,,,,,,,,,,,,,,
W_:1056.9,Ti:732.8,Ta:272.6,Si:225.4,S :217.6,Fe:179.6,Pt:179.4,Sn:159.8,,,,,,,,,,,,,,,,,,,
Cu:1202.7,Nb:653.6,Ni:323.9,Mo:253.5,P :241.6,Ca:177.9,Si:158.8,Sn:158.4,,,,,,,,,,,,,,,,,,,
Ca:1608.6,Zr:330.9,Sn:157.0,,,,,,,,,,,,,,,,,,,,,,,,
Fe:168.3,Sn:156.8,W_:156.4,Pd:155.6,,,,,,,,,,,,,,,,,,,,,,,
Mo:1114.9,Nb:999.8,Ni:509.5,W_:334.5,In:219.3,Ta:165.4,Ti:154.0,Sn:153.9,Pt:151.1,In:150.2,,,,,,,,,,,,,,,,,
I_:2545.9,Sb:488.6,Nb:340.2,In:226.8,Fe:218.4,W_:213.6,Sn:153.6,In:151.2,,,,,,,,,,,,,,,,,,,
Nb:1582.9,V_:741.1,Ni:718.5,W_:213.7,Mo:183.2,Sn:153.2,,,,,,,,,,,,,,,,,,,,,
Zr:259.4,Sn:153.0,,,,,,,,,,,,,,,,,,,,,,,,,
Sn:152.7,,,,,,,,,,,,,,,,,,,,,,,,,,
I_:816.5,Ti:630.9,Nb:583.1,Ti:542.1,In:254.5,Co:220.7,In:216.5,S :204.8,Zr:168.5,Sn:152.6,,,,,,,,,,,,,,,,,
C_:3180.6,Nb:2573.0,Ni:1265.9,Pd:809.5,Mo:263.5,Ta:161.8,Sn:152.2,,,,,,,,,,,,,,,,,,,,
Pb:4887.1,S :506.8,Mo:471.0,Ca:211.6,Sb:184.7,Sn:150.9,,,,,,,,,,,,,,,,,,,,,
V_:555.8,W_:334.5,In:238.0,In:219.3,Ti:181.2,Pt:151.1,Sn:150.9,,,,,,,,,,,,,,,,,,,,
Ti:2416.8,Bi:2281.3,Al:498.7,Mo:419.5,I_:313.3,W_:238.0,Si:234.0,Pd:223.3,Ge:171.8,K :163.0,Pt:162.1,Sn:150.8,,,,,,,,,,,,,,,
