0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Pb:2050.9,Cr:1674.7,Ta:1065.6,Ti:986.0,Mo:810.3,W_:722.4,V_:328.1,Ni:232.2,Co:226.8,Co:212.7,,,,,,,,,,,,,,
V_:1269.0,Ta:1065.6,W_:344.6,S :315.2,K_:233.0,C_:196.7,P :190.9,,,,,,,,,,,,,,,,,
W_:4664.5,V_:2343.2,Mo:1571.3,Pt:1252.2,Ta:1035.8,Zr:836.8,P :206.2,,,,,,,,,,,,,,,,,
Nb:1462.3,Ta:1020.7,Mo:604.6,Pt:376.8,C_:292.0,S :225.6,,,,,,,,,,,,,,,,,,
Ti:1774.3,Ta:1013.1,V_:823.8,W_:820.0,V_:627.1,S :397.1,Co:172.6,,,,,,,,,,,,,,,,,
C_:7599.1,Nb:3188.1,Pd:1503.7,Ta:1012.5,Mo:261.4,Pt:204.1,,,,,,,,,,,,,,,,,,
Fe:4893.8,V_:2857.7,Cr:1377.6,W_:1077.6,Ta:1009.7,K_:397.6,S :389.0,S :381.3,K_:280.4,Zr:224.2,Pt:219.1,Zr:196.1,Ni:184.9,,,,,,,,,,,
Mo:1457.1,Pt:1146.5,Ta:1005.2,Zr:363.1,Nb:335.9,,,,,,,,,,,,,,,,,,,
Fe:1108.6,Ta:993.3,Cr:944.6,Nb:571.0,Mo:223.7,,,,,,,,,,,,,,,,,,,
Pd:1451.4,Zr:1019.6,Ta:973.5,Nb:686.6,Mo:375.7,,,,,,,,,,,,,,,,,,,
Co:1711.6,Mo:1707.9,Pt:1046.7,Ta:964.4,V_:224.1,Ti:151.4,,,,,,,,,,,,,,,,,,
Ta:961.9,W_:926.4,Mo:774.2,V_:500.5,Ti:292.4,K_:252.8,P :175.4,S :170.0,,,,,,,,,,,,,,,,
Cr:2873.0,W_:1422.5,Nb:1419.3,Zr:1006.3,Ta:960.5,S :401.2,K_:388.9,Nb:383.1,S :337.2,P :307.6,,,,,,,,,,,,,,
Nb:2016.5,Fe:1265.7,Fe:1180.2,Ta:958.5,Zr:749.2,Co:532.6,P :321.5,Mo:277.9,Al:222.1,,,,,,,,,,,,,,,
