0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Ti:2203.6,Nb:1575.1,V_:1353.1,W_:949.2,Fe:824.5,Mo:653.5,Ta:575.4,Pt:524.2,,,,,,,,,,,,,
Nb:4782.8,V_:1336.0,Zr:1107.6,Bi:949.3,Cr:941.4,Ta:646.2,W_:598.9,Ti:470.4,S :436.7,S :344.2,P :305.0,In:220.9,Pb:178.3,,,,,,,,
Cr:9358.0,Mo:4988.4,Pt:4437.3,Nb:2336.8,V_:1334.0,Zr:889.5,Ta:534.5,S :488.0,K_:302.7,P :206.0,,,,,,,,,,,
Cr:2000.1,Nb:1345.7,V_:1273.5,Au:463.8,Ca:285.0,Co:273.5,S :204.9,Ta:199.8,,,,,,,,,,,,,
Mo:4278.2,Pt:3265.5,Nb:2696.1,V_:1269.0,Ta:1065.6,Cr:688.4,W_:344.6,S :315.2,K_:233.0,S :229.3,C_:196.7,P :190.9,,,,,,,,,
Ni:4208.0,Fe:1318.2,V_:1220.5,Zr:364.9,Ta:271.4,K_:170.2,,,,,,,,,,,,,,,
Mo:1233.1,V_:1199.2,Pt:776.4,Nb:286.7,Ti:239.3,Zn:215.5,Zn:205.8,,,,,,,,,,,,,,
Mo:2023.3,Pt:1218.3,V_:1174.3,Ni:245.5,Fe:196.2,Ta:174.8,Pb:173.8,,,,,,,,,,,,,,
Zr:1513.4,V_:1173.1,K_:1098.8,W_:741.6,Mo:635.0,Nb:629.4,Ti:559.9,Pt:433.2,Ni:173.8,,,,,,,,,,,,
V_:1169.9,Mo:721.0,Pt:565.4,Ti:303.9,Zr:265.1,S :173.7,,,,,,,,,,,,,,,
Nb:3256.0,V_:1167.1,Ta:501.6,Cr:331.2,Zr:213.8,W_:153.2,,,,,,,,,,,,,,,
Fe:1180.2,V_:1156.2,Ti:1096.9,Nb:989.2,Pt:484.2,W_:409.1,Mo:277.9,Al:256.9,S :223.0,K_:158.6,,,,,,,,,,,
Nb:2719.8,V_:1129.8,Mo:437.4,Ta:415.7,Pd:396.1,W_:323.1,Pt:284.4,Fe:274.4,Ag:159.8,Co:150.8,,,,,,,,,,,
Ta:2849.2,V_:1104.2,Mo:910.8,Pt:601.9,S :572.2,Nb:545.9,Ti:383.9,Zr:382.5,C_:292.9,W_:280.1,Ni:166.7,,,,,,,,,,
Fe:1886.8,Cr:1621.9,Zr:1192.1,V_:1102.9,Ti:1000.3,W_:664.0,S :388.7,Mo:336.0,Ta:319.0,Pt:271.0,Nb:238.1,,,,,,,,,,
Cr:1469.3,V_:1071.6,W_:977.6,Ta:253.1,Ni:226.3,S :215.9,Au:170.5,S :151.7,,,,,,,,,,,,,
Fe:4272.7,K_:1098.9,V_:1053.2,S :405.6,Zr:364.0,Cr:359.7,Ta:330.0,Pt:215.3,P :162.0,,,,,,,,,,,,
Ta:2100.0,V_:1043.7,Zr:462.7,W_:358.2,Mo:275.8,S :275.1,Pt:219.1,C_:154.4,,,,,,,,,,,,,
Nb:3219.7,V_:1037.8,Cr:896.4,W_:744.7,Mo:517.7,Pt:407.9,S :276.5,K_:222.8,Ti:215.9,,,,,,,,,,,,
Nb:4037.7,Ta:1646.2,Mo:1109.6,V_:1025.5,Pt:856.3,Zr:316.6,Ag:291.4,S :282.4,S :256.2,Al:241.2,C_:217.2,W_:202.6,P :165.8,K_:152.6,,,,,,,
Nb:1096.2,V_:985.8,Mo:797.3,Ti:539.4,W_:215.9,,,,,,,,,,,,,,,,
Zr:1996.1,V_:933.4,W_:534.0,Ta:362.9,Ni:264.7,Au:232.7,,,,,,,,,,,,,,,
Mo:2462.5,Pt:1913.0,V_:921.3,S :347.7,Nb:312.6,Cd:199.5,,,,,,,,,,,,,,,
Ca:11682.9,C_:1235.2,V_:911.1,Ti:362.8,S :349.5,Zr:292.4,Mo:258.6,Pt:154.4,,,,,,,,,,,,,
Ti:3747.8,W_:3201.1,Mo:1454.7,Pt:1077.9,Nb:940.4,V_:900.1,C_:766.7,Cr:684.5,,,,,,,,,,,,,
Cr:1155.7,V_:861.8,Zr:475.3,Ag:417.4,Mo:251.0,,,,,,,,,,,,,,,,
Nb:3547.3,Ti:994.6,Mo:955.3,V_:861.8,Pt:764.1,Zr:585.5,Sn:450.8,In:402.5,S :278.4,K_:158.3,,,,,,,,,,,
Nb:4735.4,V_:846.3,Ta:625.0,Zr:517.6,S :461.7,Fe:238.8,W_:184.4,Co:159.1,,,,,,,,,,,,,
V_:826.6,Ta:371.9,Co:322.2,Pt:243.2,,,,,,,,,,,,,,,,,
Ti:1540.0,Ta:1013.1,V_:823.8,S :275.2,Pt:208.7,Co:172.6,Mo:156.1,,,,,,,,,,,,,,
W_:4184.3,Fe:4175.3,Mo:3795.2,Pt:2921.4,Zr:1239.8,S :1038.8,V_:822.8,K_:806.4,P :630.0,Ta:251.8,Nb:239.4,Pb:222.9,,,,,,,,,
Nb:2693.3,Zr:1112.8,V_:806.2,Ta:456.7,,,,,,,,,,,,,,,,,
Nb:3486.3,Cr:1679.4,W_:869.1,V_:798.9,Au:210.7,K_:176.1,,,,,,,,,,,,,,,
Ta:2446.6,Cr:1895.9,V_:798.3,Co:721.2,W_:536.2,Mo:508.7,Pt:506.9,Fe:456.0,Nb:356.1,S :318.4,Zr:251.5,K_:172.2,In:165.9,,,,,,,,
Nb:3033.3,Mo:1269.1,Cr:954.2,W_:871.5,V_:788.2,Pt:779.3,Zr:686.5,S :288.2,Co:224.5,Co:184.4,,,,,,,,,,,
Nb:1604.5,V_:768.0,Cr:451.5,C_:418.4,Ni:308.3,W_:285.9,Fe:238.9,,,,,,,,,,,,,,
Zr:1713.9,V_:761.6,Ni:695.3,Nb:557.5,W_:463.1,S :409.0,Ta:392.6,Pd:291.3,Cd:261.1,P :205.9,,,,,,,,,,,
