0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Nb:2868.5,Ta:2714.4,W_:2646.1,W_:1776.7,Pt:653.5,Mo:591.0,Cr:521.9,Pt:497.8,S :496.0,S :483.0,K_:442.3,K_:348.8,P :276.8,P :203.3,,,
Nb:2866.5,W_:706.1,C_:345.3,Ta:297.6,W_:245.9,Mo:166.5,Zr:162.0,S :151.9,,,,,,,,,
Co:6878.8,Nb:2803.4,Pd:2669.3,Cr:820.2,Fe:699.2,W_:534.0,Ti:306.0,Ta:210.2,S :166.4,,,,,,,,
Nb:2800.3,Ca:582.6,Ta:441.1,Zr:332.4,,,,,,,,,,,,,
Nb:2753.6,Ta:697.6,Ti:375.7,Pt:200.1,Zr:188.3,,,,,,,,,,,,
Nb:2719.8,V_:1129.8,Mo:457.9,Mo:437.4,Pd:396.1,W_:323.1,Pt:294.4,Pt:284.4,Fe:274.4,Ag:159.8,,,,,,,
Mo:4278.2,Pt:3265.5,Nb:2696.1,V_:1269.0,Cr:688.4,Ta:321.7,S :229.3,Zn:155.4,,,,,,,,,
Nb:2693.3,Zr:1112.8,V_:806.2,Ta:456.7,,,,,,,,,,,,,
Ti:4070.7,Nb:2607.2,Mo:1020.2,Pt:767.2,C_:393.0,Ni:251.6,,,,,,,,,,,
Nb:2606.7,C_:948.9,Zr:896.6,Ta:822.1,V_:320.8,Ge:260.1,W_:239.8,V_:183.6,Ni:172.4,,,,,,,,
Zr:3760.0,Nb:2579.1,W_:840.6,K_:565.4,Pd:478.6,S :234.0,,,,,,,,,,,
Nb:2551.9,S :1298.8,K_:1078.3,P :825.4,Ti:743.1,Co:292.5,W_:175.1,C_:152.3,,,,,,,,,
Nb:2494.8,W_:2483.5,W_:1162.9,Fe:1057.8,Ti:1037.0,K_:1009.6,Mo:753.8,Zr:614.7,Pt:589.3,V_:356.2,P :281.5,S :247.0,Ta:160.9,Ta:159.8,,,
Nb:2412.7,Ta:1523.4,K_:712.9,Mo:660.2,Ti:569.3,Cu:462.1,Pt:367.8,,,,,,,,,,
Nb:2398.5,Zr:312.2,W_:219.8,Pb:173.8,,,,,,,,,,,,,
Nb:2380.6,Zr:1233.4,Ti:198.3,Ta:188.6,S :186.4,,,,,,,,,,,,
Nb:2354.1,W_:549.3,Ta:481.4,Zr:262.7,Pt:260.8,C_:251.4,,,,,,,,,,,
Cr:9358.0,Mo:4988.4,Pt:4437.3,Nb:2336.8,V_:1334.0,Zr:889.5,Ta:534.5,S :488.0,K_:302.7,P :206.0,,,,,,,
Pd:2778.1,Nb:2331.3,C_:1082.1,W_:779.8,Ta:466.4,S :395.8,P :249.4,Ca:242.1,K_:237.7,Pt:189.4,Mo:162.6,,,,,,
Nb:2325.7,Mo:894.9,Pt:625.3,Ti:360.2,,,,,,,,,,,,,
Nb:2309.3,Co:2272.2,W_:1596.8,Ta:372.8,S :337.2,,,,,,,,,,,,
