0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
V_:3672.9,Nb:1564.6,Cr:1006.1,Ta:951.7,W_:595.2,W_:591.1,Ni:474.8,Zr:373.8,S :360.2,Pt:258.6,,,,,,,,,,,,,,
Ni:471.7,Fe:228.5,,,,,,,,,,,,,,,,,,,,,,
Nb:3877.6,V_:554.6,K_:466.9,Ni:428.1,S :384.7,Ca:205.0,,,,,,,,,,,,,,,,,,
Nb:1708.8,Mo:1311.1,Co:847.8,Zr:748.5,Pt:701.1,S :440.7,K_:419.1,Ni:400.9,P :303.2,Ta:205.0,Au:203.3,W_:187.1,,,,,,,,,,,,
Ti:3959.2,Mo:1916.6,Pt:1418.9,W_:592.5,C_:470.2,Ni:397.8,Nb:362.4,Zr:188.4,Nb:183.7,,,,,,,,,,,,,,,
Mo:4839.7,Pt:3616.1,V_:3035.5,Nb:2043.2,Ta:1168.2,Ni:391.8,Zr:318.4,S :314.2,C_:155.7,,,,,,,,,,,,,,,
W_:2628.7,C_:587.0,Ni:389.0,Nb:384.5,Zr:237.0,Pt:236.1,,,,,,,,,,,,,,,,,,
Ni:383.9,W_:336.2,Fe:163.3,,,,,,,,,,,,,,,,,,,,,
Ta:3488.6,Cr:3072.4,W_:2761.0,Nb:974.5,V_:662.7,Nb:517.7,Ni:382.1,Zr:359.0,S :345.9,Co:174.2,,,,,,,,,,,,,,
Mo:3710.3,Pt:2614.0,Zr:1691.0,Co:959.1,Al:500.2,Ni:372.4,,,,,,,,,,,,,,,,,,
Zr:1610.3,Ta:1490.5,Mo:702.5,Nb:660.6,C_:574.0,Pd:430.5,Pt:405.8,Ni:370.6,Cd:160.4,,,,,,,,,,,,,,,
In:676.1,Ni:367.9,Co:306.5,Ag:259.2,Zr:158.0,,,,,,,,,,,,,,,,,,,
Ti:1782.8,W_:731.0,Ni:359.8,S :239.6,C_:168.2,,,,,,,,,,,,,,,,,,,
Pd:780.7,Pt:592.8,Mo:415.1,Ni:332.0,Nb:222.5,W_:168.3,V_:163.1,Ta:158.9,,,,,,,,,,,,,,,,
Ti:731.6,Ni:322.6,Zr:247.3,K_:220.9,S :220.6,C_:188.4,Mo:164.1,,,,,,,,,,,,,,,,,
Ta:3004.4,Cr:1327.4,Ti:751.3,Nb:545.7,C_:359.2,Ni:314.0,,,,,,,,,,,,,,,,,,
Ta:2983.6,V_:768.0,C_:418.4,Zr:402.4,Ni:308.3,W_:285.9,,,,,,,,,,,,,,,,,,
Nb:3133.7,C_:641.6,Ta:322.9,Ni:308.0,K_:291.8,S :186.8,Zr:162.6,,,,,,,,,,,,,,,,,
Nb:1707.5,V_:1580.2,Zr:1148.7,Ti:724.8,S :320.8,Co:311.4,Ni:292.6,Ta:228.6,K_:180.4,,,,,,,,,,,,,,,
Nb:1514.2,W_:636.6,Cr:604.2,V_:513.3,S :372.4,Ti:347.7,Ni:291.5,K_:223.3,Fe:172.8,Zr:168.3,,,,,,,,,,,,,,
Zr:1110.0,Ta:397.6,Ni:289.4,S :276.3,W_:268.4,Fe:158.8,,,,,,,,,,,,,,,,,,
Nb:1811.2,Ta:1302.1,W_:1285.6,Au:899.4,Mo:524.9,Ni:277.7,Pb:266.2,V_:235.8,,,,,,,,,,,,,,,,
W_:677.8,Mo:320.7,Ni:276.4,,,,,,,,,,,,,,,,,,,,,
Zr:1996.1,V_:933.4,Ta:362.9,Ni:264.7,Au:232.7,Ta:188.6,,,,,,,,,,,,,,,,,,
Nb:548.7,Ni:263.2,Ta:240.2,,,,,,,,,,,,,,,,,,,,,
Fe:3673.9,V_:2974.9,Cr:1253.0,Ta:322.9,Ni:262.5,,,,,,,,,,,,,,,,,,,
W_:328.9,Ni:251.8,Ta:230.9,,,,,,,,,,,,,,,,,,,,,
Ti:4070.7,Nb:2607.2,Nb:1519.4,Mo:1020.2,Pt:767.2,C_:393.0,Ta:313.0,Ni:251.6,,,,,,,,,,,,,,,,
Fe:2942.9,V_:362.9,Co:320.8,W_:270.7,Ni:249.9,Zr:220.7,Ta:193.5,,,,,,,,,,,,,,,,,
V_:3537.8,Zr:870.7,Pd:523.0,Ni:249.9,Ta:217.9,W_:202.2,C_:189.2,Nb:185.8,W_:179.0,S :154.4,Ag:153.4,,,,,,,,,,,,,
V_:2198.2,Nb:1560.6,W_:827.2,Zr:815.2,C_:263.3,Ni:247.9,Ta:194.8,Au:193.1,K_:186.2,,,,,,,,,,,,,,,
Mo:2023.3,Pt:1218.3,V_:1174.3,Co:859.6,Ta:344.0,Ni:245.5,Fe:196.2,Ta:174.8,,,,,,,,,,,,,,,,
Pd:1381.9,Ni:244.1,Ta:198.1,,,,,,,,,,,,,,,,,,,,,
Nb:1667.2,V_:1529.4,Ta:1504.4,W_:993.0,Mo:872.2,Cr:569.3,Pt:557.3,Zr:552.3,Zr:511.8,K_:404.0,Ni:239.1,S :180.2,,,,,,,,,,,,
Pb:2050.9,Cr:1674.7,Ta:1065.6,Ti:986.0,Mo:810.3,W_:722.4,V_:328.1,Ni:232.2,Co:226.8,Co:212.7,,,,,,,,,,,,,,
Cr:1469.3,Zr:1112.8,V_:1071.6,W_:977.6,Ta:456.7,Ni:226.3,S :151.7,,,,,,,,,,,,,,,,,
