0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
V_:1762.0,Mo:1213.3,Zr:1191.7,Pt:1152.8,S :183.8,,,,,,,,,,
Mo:1154.5,Ni:973.3,Pt:777.4,V_:520.8,Ti:504.5,Pb:473.9,,,,,,,,,
Mo:1147.0,Nb:1012.1,Pt:879.0,Ta:460.3,S :165.6,,,,,,,,,,
Nb:5436.4,Zr:3124.8,Mo:1146.8,Ni:1001.3,Pt:777.7,Al:492.0,C_:479.9,K_:430.1,Cr:166.3,,,,,,
Mo:1141.8,Zr:768.5,W_:728.5,Nb:712.1,Pt:667.2,V_:464.5,C_:239.7,,,,,,,,
W_:2179.9,Mo:1137.7,Pt:1050.4,Ta:429.7,S :368.9,In:256.2,Zr:249.9,K_:200.0,Nb:179.6,,,,,,
Nb:1739.6,Mo:1132.6,Cr:851.2,Pt:750.9,Ti:431.3,C_:293.5,K_:191.3,S :189.8,,,,,,,
Pb:4889.1,Zr:1360.2,Mo:1130.2,V_:627.5,Pt:584.0,Ti:510.5,W_:451.1,Ta:263.9,S :229.7,Ag:216.8,P :201.7,Ni:164.1,,,
Fe:3959.3,Co:2761.8,Mo:1122.6,Pt:671.1,Cr:538.5,Nb:309.8,V_:269.5,C_:208.3,,,,,,,
Mo:1119.5,Pt:697.6,Cr:286.4,W_:260.2,S :173.3,,,,,,,,,,
Mo:1111.8,Pt:539.2,Fe:294.2,Ta:222.6,,,,,,,,,,,
Nb:4037.7,Mo:1109.6,V_:1025.5,Pt:856.3,Zr:316.6,S :256.2,Al:241.2,C_:217.2,W_:202.6,P :165.8,K_:152.6,,,,
Nb:1651.5,Mo:1096.5,Pt:935.2,V_:679.6,Ta:589.5,Ti:236.3,K_:224.1,Fe:202.1,Fe:192.0,,,,,,
Zr:1233.4,Mo:1085.2,Pt:794.1,Ti:198.3,,,,,,,,,,,
Ni:3044.2,Ag:2066.1,Mo:1080.1,Pt:654.8,Nb:429.5,Ti:280.1,Zn:165.3,Co:162.7,,,,,,,
Ti:2796.8,Mo:1078.6,Nb:1051.4,Pt:608.0,C_:474.5,Ta:427.0,Zr:375.1,S :368.4,K_:345.1,Fe:276.9,P :230.0,,,,
V_:1580.2,Zr:1148.7,Mo:1061.5,Pt:832.3,S :478.9,S :320.8,Co:311.4,Ta:228.6,P :223.8,K_:188.5,K_:180.4,,,,
Mo:1056.4,Fe:715.7,Pt:577.3,V_:521.8,Au:320.5,Ta:245.8,Zr:228.6,Cr:216.3,Cr:187.8,,,,,,
Mo:1031.1,Nb:1017.0,Pt:599.2,Pd:366.4,Ta:343.3,W_:321.5,C_:313.3,Ti:253.1,V_:208.4,Zr:203.2,Fe:150.7,,,,
Cr:10068.4,Nb:3143.3,Mo:1022.3,Zr:634.3,Pt:546.2,S :537.2,Zr:517.1,Ta:464.6,P :259.9,Ti:250.3,W_:220.6,,,,
Ti:4070.7,Nb:2607.2,Mo:1020.2,Pt:767.2,C_:393.0,Ni:251.6,,,,,,,,,
Ca:2280.7,Mo:1008.9,Pt:810.5,Zr:261.9,W_:170.4,,,,,,,,,,
Ca:1446.2,Mo:1003.1,Cr:709.5,Pt:650.4,W_:491.5,Ti:393.1,Ta:374.8,K_:162.7,S :158.5,P :150.7,,,,,
Cr:1030.3,Mo:1001.2,V_:732.0,Pt:676.3,P :225.4,S :218.5,,,,,,,,,
V_:3136.7,Fe:1667.9,K_:1064.8,Mo:997.2,W_:571.1,Pt:545.8,S :538.0,In:230.1,In:184.2,P :160.8,,,,,
Cr:5230.8,V_:1607.2,Zr:1393.6,Mo:995.3,Pt:772.5,W_:352.7,Ta:244.7,P :183.5,,,,,,,
Mo:990.0,W_:654.4,Pt:635.7,Co:422.5,S :375.0,,,,,,,,,,
In:3197.7,V_:1531.7,Mo:989.2,S :769.3,Pt:670.8,P :484.8,Ta:408.1,K_:375.8,Zr:340.1,W_:267.0,Ti:261.0,Au:231.9,Cr:174.0,,
Mo:978.9,Ni:787.9,Pt:620.1,Ta:432.4,S :158.3,P :155.2,,,,,,,,,
Mo:976.0,W_:696.1,Pt:571.1,Ta:313.3,K_:162.1,,,,,,,,,,
W_:2181.0,Mo:966.4,Zr:842.3,Nb:626.6,Pt:575.4,K_:207.8,,,,,,,,,
Ta:1656.6,Mo:965.6,Pt:696.6,K_:662.8,S :601.3,Zr:410.8,W_:391.6,Cr:245.8,,,,,,,
Nb:3547.3,Ti:994.6,Mo:955.3,V_:861.8,Pt:764.1,Zr:585.5,Sn:450.8,In:402.5,S :278.4,K_:158.3,,,,,
Mo:949.5,Pt:599.5,W_:375.4,V_:279.3,Ta:204.8,C_:164.7,,,,,,,,,
Mo:944.6,Pt:431.8,Nb:399.4,Ti:258.9,,,,,,,,,,,
V_:2238.7,Pt:1355.4,Mo:938.9,Ta:886.5,Nb:535.7,Ti:479.3,S :344.8,Fe:270.1,K_:251.6,,,,,,
Ta:2849.2,V_:1104.2,Mo:910.8,Ti:815.9,Pt:601.9,S :572.2,Nb:545.9,Ti:383.9,Zr:382.5,C_:292.9,Ni:166.7,,,,
Cr:4062.8,Ti:1142.3,Mo:898.0,W_:638.3,Pt:463.7,S :233.3,,,,,,,,,
Cr:1386.4,W_:1137.2,Mo:897.5,Zr:790.0,Pt:694.3,S :620.5,P :308.5,Pb:291.9,K_:151.8,,,,,,
Nb:2325.7,Mo:894.9,Pt:625.3,Ti:360.2,,,,,,,,,,,
Co:1009.2,Mo:894.7,W_:255.7,S :217.9,Ca:205.7,,,,,,,,,,
Zr:2141.1,Nb:913.0,Mo:888.9,Pt:677.6,C_:481.0,Ta:182.7,,,,,,,,,
Ni:1241.1,Mo:877.3,Pt:585.6,Zr:510.5,W_:466.2,Sb:234.0,P :231.8,Ti:170.9,Co:159.1,,,,,,
Nb:1667.2,V_:1529.4,Ta:1504.4,W_:993.0,Mo:872.2,Cr:569.3,Pt:557.3,Zr:552.3,Zr:511.8,K_:404.0,Ni:239.1,S :180.2,,,
Mo:866.3,Nb:825.3,Pt:654.0,W_:338.8,Ta:230.6,Zr:219.6,Ti:216.2,Au:165.1,,,,,,,
Nb:2030.8,Ti:1289.6,Mo:850.5,Pt:713.3,Ta:438.4,W_:368.2,V_:319.0,Au:206.4,Zr:202.9,S :192.6,Ni:192.5,C_:181.3,,,
Nb:2099.7,Nb:1420.2,Mo:842.8,Ti:637.3,Pt:502.8,Zr:452.3,Cr:402.1,C_:360.0,S :185.7,K_:175.6,,,,,
Mo:839.1,Pt:523.9,Sn:490.7,Nb:430.6,P :213.1,K_:173.3,Ag:172.4,S :163.0,,,,,,,
Ni:4021.8,Pd:2738.2,Mo:827.2,Pt:468.7,Zr:367.2,Nb:361.8,,,,,,,,,
Nb:6936.0,W_:4146.8,Mo:821.2,S :756.2,Pt:637.6,K_:359.6,Au:167.5,,,,,,,,
Pd:2630.9,Ni:2038.3,Mo:812.3,Zr:731.3,Ta:621.6,Co:515.6,Cr:327.9,W_:313.1,Ti:183.6,,,,,,
Pb:2050.9,Cr:1674.7,Ta:1065.6,Ti:986.0,Mo:810.3,W_:722.4,V_:328.1,Ni:232.2,Co:226.8,Co:212.7,,,,,
Nb:1096.2,V_:985.8,Mo:797.3,Ti:539.4,W_:215.9,,,,,,,,,,
Pd:2946.9,Fe:1315.9,W_:1118.6,Nb:854.3,Mo:795.0,Ni:553.1,Cr:478.7,Pt:375.0,Ti:352.0,Zr:295.6,Ta:290.5,S :212.6,,,
Ca:1453.1,Au:882.7,Mo:794.7,Pt:640.6,Ta:615.2,Ti:509.4,Zr:443.9,Cr:432.9,W_:415.6,Nb:367.1,S :343.9,S :285.7,P :239.1,,
Nb:6372.1,Cr:1391.3,Ta:961.9,Mo:774.2,K_:252.8,P :175.4,S :170.0,,,,,,,,
Fe:3924.7,Cr:823.5,Mo:763.6,Pt:627.1,Nb:495.7,C_:270.6,Ta:192.2,K_:150.3,,,,,,,
Nb:2494.8,W_:2483.5,Fe:1057.8,Mo:753.8,Zr:614.7,Pt:589.3,V_:356.2,P :281.5,S :247.0,Ta:159.8,,,,,
Fe:3349.3,Pd:1740.8,Mo:725.0,W_:655.0,Ta:208.0,C_:194.2,Pb:178.3,S :177.0,,,,,,,
Fe:3564.7,Cr:2236.7,Mo:723.9,Co:611.9,S :600.7,W_:518.2,V_:497.1,Pt:398.5,Nb:395.0,K_:315.0,P :271.2,Ni:167.6,,,
V_:1169.9,Mo:721.0,Pt:565.4,W_:345.7,,,,,,,,,,,
Nb:1372.1,Co:937.2,Mo:713.7,Pt:378.5,C_:174.0,P :156.8,,,,,,,,,
Zr:1610.3,Ta:1490.5,Mo:702.5,Nb:660.6,C_:574.0,Pd:430.5,C_:408.5,Pt:405.8,Ni:370.6,Cd:160.4,,,,,
V_:2503.3,Mo:701.8,Pt:618.9,Cr:603.3,Nb:174.0,C_:157.4,,,,,,,,,
Cr:3669.4,Ta:851.3,Mo:698.2,Co:579.4,S :509.5,K_:492.6,Pt:428.0,Zr:394.4,S :341.9,K_:330.9,W_:325.3,,,,
W_:1331.0,Zr:970.0,Mo:690.0,V_:679.6,Pt:630.8,S :304.6,K_:274.6,Fe:202.1,,,,,,,
Zn:7365.5,Nb:3284.7,Zr:1513.4,K_:1098.8,Mo:689.8,Pt:567.4,Au:541.8,S :463.0,Ti:395.9,Cr:198.1,P :187.6,W_:177.2,,,
Mo:688.1,Ta:478.9,Pt:452.8,,,,,,,,,,,,
W_:925.2,Zr:768.6,Mo:682.5,Pt:472.8,K_:303.4,Ta:274.7,Zr:167.0,,,,,,,,
Co:2281.8,Nb:807.6,Mo:681.5,Ti:313.9,Pt:288.9,S :157.1,,,,,,,,,
Nb:1113.6,Mo:669.5,Pt:578.5,C_:444.1,W_:254.4,Ta:228.3,,,,,,,,,
Ta:1568.1,Mo:666.7,Pt:440.1,Co:363.9,Zr:285.0,,,,,,,,,,
Nb:2412.7,Ta:1523.4,K_:712.9,Mo:660.2,Ti:569.3,Cu:462.1,Pt:367.8,,,,,,,,
Ti:2203.6,Nb:1575.1,V_:1353.1,Cr:858.5,Mo:653.5,Ta:575.4,Pt:524.2,,,,,,,,
Cr:1167.2,Ti:979.7,Mo:651.0,Pt:543.0,Zr:462.7,S :461.3,W_:358.2,K_:286.4,Nb:251.7,P :248.9,,,,,
