0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Co:6878.8,Pd:2669.3,K_:771.7,Fe:699.2,W_:584.0,V_:454.4,C_:439.8,Zr:360.0,Ti:306.0,Ta:302.4,,,,,,,,,,,,,,
Ta:2983.6,V_:768.0,C_:418.4,Zr:402.4,Ni:308.3,W_:285.9,,,,,,,,,,,,,,,,,,
Nb:3404.6,Zr:1766.6,C_:408.7,,,,,,,,,,,,,,,,,,,,,
Nb:4808.4,Ti:414.8,C_:408.6,V_:394.4,W_:391.6,,,,,,,,,,,,,,,,,,,
Zr:1610.3,Mo:702.5,Ti:639.0,C_:408.5,Pt:405.8,Cr:278.3,,,,,,,,,,,,,,,,,,
C_:401.6,Fe:173.8,,,,,,,,,,,,,,,,,,,,,,
Mo:1455.7,Pt:1110.5,Nb:698.2,C_:393.9,Zr:316.2,Ta:221.4,,,,,,,,,,,,,,,,,,
Ti:4070.7,Nb:2607.2,Mo:1020.2,Pt:767.2,C_:393.0,Ni:251.6,,,,,,,,,,,,,,,,,,
Nb:1051.4,V_:502.9,C_:379.7,Zr:375.1,S :358.3,K_:345.1,P :229.3,,,,,,,,,,,,,,,,,
Nb:2099.7,Mo:842.8,Ti:637.3,Pt:502.8,Cr:402.1,C_:360.0,K_:175.6,,,,,,,,,,,,,,,,,
Ta:3004.4,Cr:1327.4,Ti:751.3,Nb:545.7,C_:359.2,Ni:314.0,,,,,,,,,,,,,,,,,,
Ta:1363.2,W_:368.2,C_:353.2,Cr:270.0,Al:258.5,Zr:202.9,S :192.6,Ni:192.5,,,,,,,,,,,,,,,,
Cu:1509.9,Zr:706.1,W_:501.4,V_:442.3,C_:345.5,Ta:209.7,S :170.1,,,,,,,,,,,,,,,,,
Nb:2866.5,W_:706.1,C_:345.3,Ta:297.6,W_:245.9,Mo:166.5,Zr:162.0,S :151.9,,,,,,,,,,,,,,,,
W_:1572.4,S :439.8,C_:345.1,Ta:301.1,,,,,,,,,,,,,,,,,,,,
Nb:2286.4,Nb:1391.0,Ti:538.3,C_:344.7,W_:282.0,S :267.9,Ti:241.9,K_:222.6,Zr:182.7,Mo:159.0,,,,,,,,,,,,,,
Ta:552.2,C_:340.3,W_:237.6,Zr:192.0,,,,,,,,,,,,,,,,,,,,
Nb:3123.2,W_:773.4,Fe:769.6,Zr:720.3,V_:353.6,C_:335.8,Ti:227.6,S :196.6,,,,,,,,,,,,,,,,
Mo:1525.4,Cr:1512.5,Ti:1345.8,Nb:1273.7,Pt:1068.0,Zr:420.2,W_:374.1,C_:331.0,,,,,,,,,,,,,,,,
Nb:1604.5,Ta:1188.4,Cr:451.5,C_:324.1,Zr:244.5,Fe:238.9,Pt:234.2,S :220.2,Mo:161.5,Fe:153.9,,,,,,,,,,,,,,
K_:701.4,Nb:581.8,C_:316.3,Mo:236.2,,,,,,,,,,,,,,,,,,,,
Mo:1031.1,Nb:1017.0,Pt:599.2,Pd:366.4,Ta:343.3,W_:321.5,C_:313.3,Ti:253.1,V_:208.4,Zr:203.2,Fe:150.7,,,,,,,,,,,,,
Cr:2351.2,W_:699.4,Zr:424.4,C_:311.6,Ti:192.2,Fe:192.0,K_:177.4,,,,,,,,,,,,,,,,,
Ta:697.6,Ta:471.2,Ti:375.7,C_:309.1,Mo:289.3,Zr:251.7,S :230.3,Pt:200.1,,,,,,,,,,,,,,,,
Nb:1739.6,Mo:1132.6,Cr:851.2,Pt:750.9,Ti:431.3,C_:293.5,K_:191.3,S :189.8,,,,,,,,,,,,,,,,
Ta:2849.2,V_:1104.2,Mo:910.8,Ti:815.9,Pt:601.9,S :572.2,Nb:545.9,Ti:383.9,Zr:382.5,C_:292.9,Ni:166.7,,,,,,,,,,,,,
Nb:1667.2,V_:1529.4,Ta:1504.4,Ta:1020.7,Mo:604.6,Zr:511.8,C_:292.0,S :225.6,,,,,,,,,,,,,,,,
Mo:3399.1,W_:2469.7,Fe:2206.3,Pt:2130.4,Pd:1838.4,Ni:731.0,Ta:364.1,Ti:361.4,C_:284.8,Cr:220.6,,,,,,,,,,,,,,
Fe:3924.7,Cr:823.5,Mo:763.6,Pt:627.1,Nb:495.7,C_:270.6,Ta:192.2,K_:150.3,,,,,,,,,,,,,,,,
Fe:4135.4,Mo:2448.6,Pt:1609.3,V_:1507.6,Cr:569.0,Ta:440.0,Ti:339.3,C_:267.8,S :196.1,Au:173.9,K_:164.0,,,,,,,,,,,,,
Fe:4135.4,Nb:1560.6,W_:827.2,Ta:440.0,C_:263.3,Ni:247.9,Ta:194.8,Au:193.1,K_:186.2,,,,,,,,,,,,,,,
K_:2379.6,S :2227.9,P :1854.0,V_:564.2,C_:253.2,Pt:204.8,W_:204.4,,,,,,,,,,,,,,,,,
Nb:2354.1,Ti:1954.5,W_:549.3,Ta:481.4,Zr:274.4,Zr:262.7,Pt:260.8,C_:251.4,Mo:170.0,,,,,,,,,,,,,,,
Cr:3727.1,Ta:3524.3,Fe:1070.9,Ti:1047.4,Nb:610.3,Pt:247.7,C_:247.2,Mo:210.1,Zr:156.7,,,,,,,,,,,,,,,
Ti:2251.3,Nb:1414.5,W_:993.0,V_:668.8,Zr:552.3,C_:247.0,Zr:206.4,S :180.2,,,,,,,,,,,,,,,,
Mo:1141.8,W_:728.5,Nb:712.1,Pt:667.2,Zr:503.5,V_:464.5,C_:239.7,,,,,,,,,,,,,,,,,
Zr:1286.7,Ta:685.8,W_:642.8,V_:546.6,Pt:433.5,Mo:409.7,C_:238.7,,,,,,,,,,,,,,,,,
Nb:630.0,Ta:435.4,Al:373.9,Al:307.1,Mo:284.4,W_:243.4,V_:242.6,C_:232.9,Pt:217.4,Zr:175.3,,,,,,,,,,,,,,
Ta:2067.6,Nb:1204.7,Ti:827.8,C_:224.2,Cr:196.7,,,,,,,,,,,,,,,,,,,
Nb:3806.6,Ta:1646.2,Ti:1449.0,Zr:692.0,W_:440.1,Ag:291.4,S :282.4,C_:218.4,K_:154.2,P :152.1,,,,,,,,,,,,,,
Nb:4037.7,Mo:1109.6,V_:1025.5,Pt:856.3,Zr:316.6,S :256.2,Al:241.2,C_:217.2,W_:202.6,P :165.8,K_:152.6,,,,,,,,,,,,,
Ti:1114.1,C_:217.0,Ta:185.5,,,,,,,,,,,,,,,,,,,,,
Fe:3959.3,Mo:1122.6,Pt:671.1,Nb:309.8,V_:269.5,C_:208.3,,,,,,,,,,,,,,,,,,
V_:4260.1,Zr:1478.4,Nb:773.7,Pt:222.6,C_:207.0,,,,,,,,,,,,,,,,,,,
Nb:2871.8,Ti:884.6,Zr:483.6,C_:197.2,Pt:175.8,,,,,,,,,,,,,,,,,,,
V_:1269.0,Ta:1065.6,W_:344.6,S :315.2,K_:233.0,C_:196.7,P :190.9,,,,,,,,,,,,,,,,,
Fe:3349.3,Pd:1740.8,Mo:725.0,W_:655.0,Ta:208.0,C_:194.2,Pb:178.3,S :177.0,,,,,,,,,,,,,,,,
Mo:5468.5,Pt:4950.4,S :303.2,C_:194.1,Zr:169.6,,,,,,,,,,,,,,,,,,,
V_:3537.8,Zr:870.7,Pd:523.0,Ni:249.9,Ta:217.9,W_:202.2,C_:189.2,Nb:185.8,S :154.4,Ag:153.4,,,,,,,,,,,,,,
Nb:2893.5,Ta:625.0,W_:508.1,K_:337.1,Ni:322.6,C_:188.4,Mo:164.1,,,,,,,,,,,,,,,,,
Nb:2057.6,Zr:1750.9,Ti:340.1,Mo:288.1,Ta:236.9,Cr:196.5,Ta:190.2,C_:187.2,,,,,,,,,,,,,,,,
W_:4182.6,Cr:2806.2,Ti:2267.7,Mo:616.6,Pt:478.0,Nb:440.8,Zr:330.5,Ta:279.6,V_:249.5,C_:186.9,S :177.5,,,,,,,,,,,,,
Nb:2030.8,Ti:1289.6,Mo:850.5,Pt:713.3,Ta:438.4,V_:319.0,Au:206.4,C_:181.3,,,,,,,,,,,,,,,,
Nb:3348.0,Ti:537.7,Mo:354.2,Pt:221.1,W_:184.8,C_:180.1,,,,,,,,,,,,,,,,,,
Mo:1293.3,Ta:1181.7,Pt:924.9,S :380.6,Zr:296.4,K_:247.0,P :178.1,C_:177.5,,,,,,,,,,,,,,,,
Fe:1572.3,Nb:1372.1,Co:937.2,Zr:777.6,Mo:713.7,Ta:531.8,Mo:448.5,Pt:378.5,Pt:254.3,C_:174.0,,,,,,,,,,,,,,
V_:3500.9,Zr:1691.0,Ta:592.4,W_:373.9,S :224.7,Ti:216.8,P :186.1,C_:172.1,,,,,,,,,,,,,,,,
Cr:3603.9,V_:574.0,Mo:487.4,Ti:372.8,K_:348.2,Ta:298.1,C_:170.3,,,,,,,,,,,,,,,,,
W_:1194.5,Zr:996.3,Nb:725.9,S :704.7,P :460.7,K_:421.5,Ta:410.9,Ti:372.8,K_:348.2,Ta:298.1,Pt:259.0,Mo:180.7,C_:170.0,,,,,,,,,,,
Ta:1653.9,Nb:1280.7,W_:731.0,Ni:359.8,S :275.8,S :239.6,C_:168.2,,,,,,,,,,,,,,,,,
Mo:949.5,Pt:599.5,Ta:508.0,W_:375.4,Nb:347.8,Pt:344.2,V_:279.3,Ta:204.8,C_:164.7,,,,,,,,,,,,,,,
V_:1872.0,W_:1064.9,Ca:428.1,Pt:425.2,Mo:386.1,Ta:258.3,S :186.5,C_:162.8,,,,,,,,,,,,,,,,
W_:6907.8,Ti:1777.5,Al:1499.7,Nb:933.9,Co:707.0,S :175.6,C_:162.4,V_:157.0,,,,,,,,,,,,,,,,
Cr:4436.2,Ta:292.0,Zr:254.1,Cu:177.1,S :171.0,C_:161.3,,,,,,,,,,,,,,,,,,
Zr:696.1,C_:160.8,,,,,,,,,,,,,,,,,,,,,,
Pd:2059.0,Fe:1658.3,K_:498.2,Ta:483.9,Cr:373.8,Zn:307.8,In:266.4,Cd:256.0,Sb:249.6,Sn:201.9,C_:159.5,,,,,,,,,,,,,
V_:546.6,Nb:533.2,Cr:229.8,P :181.8,C_:158.9,,,,,,,,,,,,,,,,,,,
V_:2503.3,W_:1285.0,Mo:701.8,Pt:618.9,Cr:603.3,Ta:357.0,Nb:259.6,Ni:216.6,Nb:174.0,S :166.4,C_:157.4,,,,,,,,,,,,,
Mo:4839.7,Pt:3616.1,V_:3035.5,Nb:2043.2,Ta:1168.2,Ni:391.8,Zr:318.4,S :314.2,C_:155.7,,,,,,,,,,,,,,,
W_:3236.0,Ta:1181.7,Zr:501.4,S :372.1,Nb:262.8,P :196.3,K_:159.9,C_:155.7,,,,,,,,,,,,,,,,
Ta:2100.0,V_:1043.7,Zr:462.7,W_:358.2,Mo:275.8,S :275.1,Pt:219.1,C_:154.4,,,,,,,,,,,,,,,,
Cr:2242.4,Nb:2047.4,Ti:1638.2,Nb:662.9,Ta:622.5,Fe:507.2,Zr:490.2,W_:211.8,P :190.8,V_:185.5,C_:152.3,,,,,,,,,,,,,
Nb:2551.9,K_:1078.3,P :825.4,Ta:685.8,Mo:409.7,C_:152.3,,,,,,,,,,,,,,,,,,
