0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Pd:2778.1,Zr:1022.8,Ag:417.4,S :382.8,K_:316.7,Ta:292.1,Pt:282.4,Mo:251.0,P :175.2,,,,,,
Nb:1381.4,Ta:670.0,W_:651.6,Mo:574.4,Pt:421.2,S :288.6,Zr:287.1,P :173.5,,,,,,,
W_:699.4,V_:586.2,Mo:574.4,Zr:424.4,Ti:192.2,K_:177.4,P :172.6,S :155.3,,,,,,,
Nb:3429.7,Ti:3120.7,C_:836.2,W_:719.7,Ca:347.3,Mo:280.4,P :172.1,,,,,,,,
Cr:2371.3,Ti:1244.7,Nb:1155.4,Mo:275.8,S :275.1,Ta:271.9,Pt:256.6,Pt:219.1,K_:194.9,S :191.5,P :170.0,Zr:165.1,,,
Ta:3987.6,In:3243.5,Nb:1941.4,Nb:549.6,S :287.7,K_:204.8,P :168.1,,,,,,,,
W_:8270.9,Fe:1822.4,Ta:1264.1,Ti:1001.2,Nb:774.3,Zr:635.7,S :172.5,P :168.0,K_:160.5,,,,,,
Nb:2278.2,Mo:1606.3,Pt:979.6,Ti:977.5,Fe:679.8,W_:509.0,S :253.1,V_:227.3,P :167.6,,,,,,
Ta:1567.6,Cr:992.0,Nb:608.8,S :427.8,V_:294.5,Fe:282.0,P :166.8,,,,,,,,
V_:2137.3,V_:1762.0,Cr:1342.8,W_:542.8,Ca:201.5,S :183.8,P :166.2,,,,,,,,
Nb:4037.7,Mo:1109.6,V_:1025.5,Pt:856.3,Zr:316.6,S :256.2,Al:241.2,C_:217.2,W_:202.6,P :165.8,K_:152.6,,,,
Fe:4810.9,Mo:2545.1,Pt:1908.0,Ta:1732.8,Zr:1287.9,Ta:1220.9,V_:566.4,S :215.2,P :163.9,,,,,,
Fe:4272.7,W_:1891.5,V_:1416.1,K_:1098.9,V_:1053.2,Ca:1041.2,S :405.6,Zr:364.0,Cr:359.7,Ta:330.0,Pt:215.3,P :162.0,,,
V_:3136.7,Fe:1667.9,K_:1064.8,Mo:997.2,Zr:599.2,W_:571.1,Pt:545.8,S :538.0,In:184.2,P :160.8,,,,,
Nb:3274.6,Ti:270.5,Zr:217.9,P :160.6,K_:158.2,,,,,,,,,,
C_:1623.7,Nb:1570.7,Cr:1153.4,Ti:726.8,W_:596.7,S :201.9,Zr:161.9,P :160.6,,,,,,,
Mo:3351.6,Pt:2717.2,V_:1411.2,Ta:1162.8,Pd:529.2,W_:428.4,S :358.5,Ti:285.0,Fe:279.6,Ag:229.4,P :158.2,Au:150.7,K_:150.5,,
V_:2032.6,Ca:1022.5,S :476.9,Ta:271.7,Fe:266.4,P :158.1,,,,,,,,,
Nb:6372.1,Cr:1391.3,Zr:893.7,Pt:604.5,C_:537.3,Ta:330.7,S :249.4,K_:195.0,W_:183.6,P :157.8,,,,,
Nb:1372.1,Co:987.1,Mo:713.7,Pt:378.5,Au:166.9,P :156.8,,,,,,,,,
Nb:3188.4,Mo:1831.7,Pt:917.9,W_:663.5,Zr:404.2,S :306.3,S :272.7,Pb:161.4,V_:156.6,P :156.3,,,,,
Fe:3626.2,Ta:1432.8,Ni:1042.4,Ti:935.5,W_:714.7,Cr:552.5,Mo:533.0,Pt:422.8,Zr:297.4,P :156.1,,,,,
Mo:8651.9,Pt:7653.7,C_:3028.4,Zr:1914.0,Nb:1825.0,Co:1552.6,Cr:916.5,S :263.7,Au:162.4,P :155.4,,,,,
Mo:978.9,Ni:787.9,Pt:620.1,Ta:432.4,S :158.3,P :155.2,,,,,,,,,
W_:805.8,Zr:736.8,Nb:606.3,K_:208.9,S :189.3,P :154.9,,,,,,,,,
Nb:3223.2,Ti:1400.5,Ta:574.9,Fe:471.4,Cr:396.7,Mo:357.2,Pt:272.5,S :241.7,V_:191.6,P :154.5,,,,,
Nb:3806.6,Ta:1646.2,Ti:1449.0,Zr:692.0,W_:440.1,Ag:291.4,S :282.4,C_:218.4,K_:154.2,P :152.1,,,,,
Mo:1493.6,Nb:1341.1,W_:943.5,Pt:763.0,Ti:592.2,V_:235.4,S :206.0,P :151.9,,,,,,,
W_:2429.3,Ti:2131.7,Ta:878.8,Zr:683.0,Mo:486.7,Pt:391.8,P :151.6,,,,,,,,
Ca:1446.2,Mo:1003.1,Cr:709.5,Pt:650.4,W_:491.5,Ti:393.1,Ta:374.8,K_:162.7,S :158.5,P :150.7,,,,,
