0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Cr:1461.5,W_:1217.6,Ta:287.3,Zr:184.3,P :177.6,,,,,,,,,,
W_:1205.0,Mo:339.3,S :331.3,Pt:286.2,Al:182.9,,,,,,,,,,
W_:1194.5,Zr:996.3,Nb:725.9,S :704.7,P :460.7,K_:421.5,Ta:410.9,Pt:259.0,Mo:180.7,C_:170.0,,,,,
Nb:4782.8,Cr:1377.0,W_:1181.0,S :436.7,S :300.5,In:242.0,In:220.9,Au:193.1,Pb:160.4,,,,,,
W_:1166.1,Ta:915.5,Ti:723.2,Nb:412.6,Cr:239.2,Fe:185.1,In:175.0,,,,,,,,
Nb:2494.8,W_:1162.9,Ti:1037.0,K_:1009.6,V_:356.2,S :289.8,Ta:160.9,,,,,,,,
W_:1148.7,Co:1028.4,Zr:1024.1,S :543.1,Ta:322.7,Cr:314.3,Fe:301.5,P :208.9,K_:174.5,Au:159.1,,,,,
W_:1137.2,Mo:897.5,Zr:790.0,Pt:694.3,S :620.5,P :308.5,Pb:291.9,Ti:219.3,K_:151.8,,,,,,
Co:1291.5,W_:1130.4,Zr:589.5,Fe:489.7,Ta:457.6,S :436.2,Cr:155.1,,,,,,,,
Nb:1925.0,V_:1690.6,V_:1389.9,W_:1123.8,S :243.7,Ni:158.3,,,,,,,,,
Pd:2946.9,Fe:1315.9,W_:1118.6,Nb:854.3,Mo:795.0,Ni:553.1,Cr:478.7,Pt:375.0,Ti:352.0,Zr:295.6,Ta:290.5,S :212.6,,,
V_:4483.0,Nb:1680.6,W_:1104.7,Ta:199.0,,,,,,,,,,,
Fe:4893.8,V_:2857.7,Cr:1377.6,W_:1077.6,Ta:1009.7,S :381.3,K_:280.4,Zr:224.2,Ni:184.9,,,,,,
Fe:2890.3,W_:1076.0,Co:572.2,Ta:325.4,S :217.9,Ca:205.7,Cd:196.9,,,,,,,,
Ti:3980.6,Zr:1323.5,Cr:1264.0,W_:1073.6,Nb:262.1,,,,,,,,,,
W_:1064.9,Zr:541.5,Ta:325.4,S :195.5,C_:162.8,,,,,,,,,,
W_:1059.2,Mo:536.5,Nb:340.5,Pt:267.9,Ta:198.1,Fe:153.4,,,,,,,,,
Nb:1832.9,Zr:1581.1,Nb:1329.9,W_:1047.4,K_:569.6,P :371.7,Ti:236.3,,,,,,,,
Nb:1965.0,Ti:1883.4,Ta:1303.0,W_:1031.0,S :611.0,K_:369.1,P :254.8,Ni:203.6,Au:158.1,,,,,,
Cr:3122.3,W_:1029.7,Nb:327.4,V_:267.4,Pb:159.6,,,,,,,,,,
Mo:3208.0,Pt:2696.1,Ca:2689.2,Nb:2200.8,V_:2108.7,W_:1018.4,Zr:429.5,Au:408.8,S :289.7,Ti:215.6,K_:215.4,,,,
Mo:4705.4,Pt:3596.8,V_:2151.1,W_:1001.1,Fe:656.6,S :286.1,Ta:261.2,P :184.5,K_:183.7,,,,,,
Nb:1414.5,W_:993.0,Mo:872.2,V_:668.8,Cr:569.3,Pt:557.3,Zr:552.3,K_:404.0,C_:247.0,Ni:239.1,S :180.2,,,,
Cr:1469.3,Zr:1112.8,V_:1071.6,W_:977.6,Ta:456.7,Ni:226.3,S :151.7,,,,,,,,
Ta:1928.8,Zr:1752.3,Ni:1541.9,Fe:1283.3,W_:974.9,S :621.4,Ti:401.7,P :364.5,Cr:357.9,K_:351.1,Pb:249.6,Pt:193.5,Au:191.6,,
S :3010.6,K_:2726.0,Ti:2203.6,P :2095.3,Nb:1575.1,V_:1353.1,W_:949.2,Fe:824.5,Ta:721.9,Ta:575.4,Ca:188.6,,,,
Co:6680.7,V_:2657.2,Fe:1559.5,W_:945.6,Ta:500.6,Au:464.7,Ti:298.7,Ta:281.5,S :226.7,S :160.2,,,,,
Ni:2636.6,W_:943.5,S :164.8,P :151.9,,,,,,,,,,,
Ta:961.9,W_:926.4,V_:500.5,Ti:292.4,K_:252.8,K_:246.3,,,,,,,,,
Nb:2212.8,W_:925.2,Mo:682.5,Pt:472.8,K_:303.4,Ta:274.7,Zr:167.0,Au:157.3,,,,,,,
Mo:5194.2,Fe:2510.0,W_:916.2,P :291.9,,,,,,,,,,,
Nb:2888.7,V_:1606.2,W_:914.8,Ta:876.1,Zr:700.7,S :304.2,K_:190.7,,,,,,,,
V_:2096.7,W_:905.3,Ta:627.0,S :167.9,,,,,,,,,,,
W_:895.7,Pd:866.0,Au:328.2,Cr:257.6,Nb:227.9,S :180.5,,,,,,,,,
Co:3406.7,Ni:3238.7,Fe:2427.5,Pd:2319.9,W_:894.4,Nb:610.3,Mo:587.2,Ta:508.1,V_:343.6,Pt:320.2,S :163.8,Cr:160.2,,,
Mo:1760.7,Pt:1364.5,W_:887.6,Zr:451.0,Ta:287.3,V_:253.7,P :177.6,,,,,,,,
