0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Mo:2258.5,Pt:1580.8,Fe:929.2,K_:284.2,Cr:268.1,Ta:171.7,,,,,,,,,
V_:2732.3,C_:1654.6,Cr:1580.6,Nb:1461.8,W_:461.9,Ti:449.9,Zr:337.5,K_:283.1,S :181.3,Au:166.2,,,,,
Ni:3596.5,Nb:552.8,Zr:531.7,Mo:358.2,W_:332.3,Zn:296.7,K_:281.4,Pt:231.8,Fe:177.5,Sn:154.6,,,,,
Fe:4893.8,V_:2857.7,Cr:1377.6,W_:1077.6,Ta:1009.7,S :381.3,K_:280.4,Zr:224.2,Ni:184.9,,,,,,
Fe:4810.9,Au:3899.8,W_:1461.1,Ta:1324.6,Zr:1287.9,Ta:1220.9,Ti:859.5,Cr:757.0,Co:690.7,V_:566.4,S :346.4,K_:279.0,P :201.7,,
Ni:3151.5,Mo:1887.1,Pt:1335.8,Cr:750.9,Zr:641.1,Ta:628.8,Zn:293.4,K_:277.7,Cd:212.2,,,,,,
Zr:3315.2,W_:2140.0,Mo:1992.3,Pt:1404.0,Nb:1041.1,V_:506.9,Cr:443.7,S :371.6,P :279.4,K_:275.9,Au:173.3,,,,
W_:1331.0,Zr:970.0,Mo:690.0,V_:679.6,Pt:630.8,S :304.6,K_:274.6,Fe:202.1,,,,,,,
Nb:4324.2,Mo:458.7,S :402.1,Zr:340.5,P :296.3,K_:274.0,V_:223.7,Pt:217.8,,,,,,,
Mo:7071.8,Pt:6584.2,Nb:1708.4,V_:1562.4,Ta:896.0,S :712.0,K_:271.9,P :207.1,Au:181.9,,,,,,
W_:3056.2,Nb:1041.1,Ta:905.9,P :383.0,S :281.4,K_:254.8,,,,,,,,,
Cr:1022.6,W_:854.6,Zr:694.8,Fe:492.8,V_:360.4,S :352.0,Ta:335.3,K_:253.5,P :202.8,,,,,,
Ta:961.9,W_:926.4,Mo:774.2,V_:500.5,Ti:292.4,K_:252.8,P :175.4,S :170.0,,,,,,,
V_:2238.7,Pt:1355.4,Mo:938.9,Ta:886.5,Nb:535.7,Ti:479.3,S :344.8,K_:251.6,,,,,,,
Zr:1678.3,Ti:1248.5,Cr:888.8,Nb:632.0,Mo:476.7,V_:442.2,Pt:337.7,S :277.2,K_:251.3,P :205.8,W_:192.1,,,,
Mo:1293.3,Ta:1181.7,Pt:924.9,S :380.6,Zr:296.4,K_:247.0,P :178.1,C_:177.5,,,,,,,
Mo:1721.9,Pt:1191.1,W_:926.4,V_:500.5,C_:452.1,Ti:292.4,S :265.1,K_:246.3,P :184.5,,,,,,
Fe:2322.7,Nb:1682.9,Zr:1202.1,Ta:601.7,Mo:521.5,Pt:414.9,W_:302.6,Ti:282.9,S :249.1,K_:243.2,Ni:161.2,,,,
Ni:1102.5,Ta:858.9,Mo:417.6,Nb:370.3,W_:267.0,K_:238.9,,,,,,,,,
Pd:2778.1,Nb:2331.3,C_:1082.1,W_:779.8,Ta:466.4,S :395.8,P :249.4,Ca:242.1,K_:237.7,Pt:189.4,Mo:162.6,,,,
V_:1269.0,Ta:1065.6,W_:344.6,S :315.2,K_:233.0,C_:196.7,P :190.9,,,,,,,,
Nb:4324.2,Mo:458.7,Ta:406.5,S :402.1,K_:232.8,V_:223.7,Pt:217.8,,,,,,,,
In:4197.1,V_:1484.4,Ta:1199.1,Cr:275.1,K_:228.8,,,,,,,,,,
K_:225.0,Ta:219.6,Nb:194.3,Mo:169.3,,,,,,,,,,,
Nb:4209.0,Ta:650.1,W_:520.9,S :383.8,K_:224.7,Cr:203.7,P :184.1,Au:153.3,,,,,,,
Nb:1651.5,Mo:1096.5,Pt:935.2,V_:679.6,Ta:589.5,Ti:236.3,K_:224.1,Fe:202.1,Fe:192.0,,,,,,
Ta:2920.7,Nb:1514.2,W_:636.6,Cr:604.2,V_:513.3,S :372.4,Ti:347.7,Ni:291.5,K_:223.3,Fe:172.8,Zr:168.3,,,,
Nb:3219.7,Ta:2693.0,V_:1037.8,Cr:896.4,W_:744.7,S :276.5,K_:222.8,Ti:215.9,P :183.0,,,,,,
Ca:3966.4,Ti:1982.5,W_:559.2,S :364.2,Ta:351.2,K_:222.7,,,,,,,,,
Nb:2286.4,Ta:471.2,C_:344.7,W_:282.0,S :267.9,Ti:241.9,K_:222.6,Zr:182.7,Mo:159.0,,,,,,
Ta:3524.3,Fe:1070.9,Ti:731.6,Nb:610.3,Ni:322.6,Pt:247.7,Zr:247.3,K_:220.9,S :220.6,Mo:210.1,,,,,
Cr:5230.8,Nb:433.4,W_:352.7,S :310.3,Ta:260.4,Ta:244.7,K_:217.3,Fe:188.9,,,,,,,
Mo:3208.0,Pt:2696.1,Ca:2689.2,Nb:2200.8,V_:2108.7,W_:1018.4,Zr:429.5,Au:408.8,S :289.7,Ti:215.6,K_:215.4,,,,
Pb:924.6,Co:556.1,Ta:339.4,S :253.2,Zr:227.1,Au:214.2,K_:212.9,P :210.6,Ni:152.6,,,,,,
Zr:1586.0,Mo:1300.2,Pt:905.1,Nb:763.9,S :300.2,Cd:299.1,Ni:210.9,K_:209.5,,,,,,,
W_:805.8,Zr:736.8,Nb:606.3,K_:208.9,S :189.3,P :154.9,,,,,,,,,
Nb:1114.5,Cr:862.3,Ta:852.2,Zr:423.1,Co:386.0,K_:208.5,Pt:191.3,S :174.8,,,,,,,
Ni:3165.1,W_:2181.0,Mo:966.4,Zr:842.3,Ta:728.6,Nb:626.6,Pt:575.4,K_:207.8,S :151.4,,,,,,
Ta:3987.6,In:3243.5,Nb:1941.4,Cr:662.0,Mo:608.2,Pt:450.8,S :287.7,S :281.0,P :243.7,K_:204.8,P :168.1,,,,
W_:3381.7,Nb:1114.5,Ta:772.4,Co:386.0,Fe:266.2,Au:220.0,K_:203.3,Pt:191.3,Ti:163.5,,,,,,
