0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Fe:4893.8,V_:2857.7,Cr:1377.6,W_:1077.6,Ta:1009.7,S :381.3,K_:280.4,Zr:224.2,Ni:184.9,,,,,,,,,,,,,,,
V_:2350.1,Ta:1466.7,Cr:1377.0,W_:1181.0,Mo:617.9,Pt:400.0,Ti:309.6,S :300.5,In:242.0,Zr:217.0,Au:193.1,Pb:160.4,,,,,,,,,,,,
Nb:3245.3,V_:2137.3,Cr:1342.8,W_:542.8,Co:378.6,Ca:343.9,Ca:201.5,P :166.2,,,,,,,,,,,,,,,,
Nb:3806.6,Cr:1342.4,Zr:692.0,Co:247.9,S :185.9,,,,,,,,,,,,,,,,,,,
Ta:3004.4,Cr:1327.4,Ti:751.3,Nb:545.7,C_:359.2,Ni:314.0,,,,,,,,,,,,,,,,,,
Cd:7631.4,W_:1339.4,Cr:1326.8,Ti:794.4,Nb:479.7,S :444.3,Ta:387.0,Zr:283.6,P :241.3,,,,,,,,,,,,,,,
Cr:1319.6,Ta:508.0,W_:373.9,Nb:347.8,Pt:344.2,S :267.8,,,,,,,,,,,,,,,,,,
Mo:8466.9,Pt:7366.7,Fe:1716.7,V_:1650.4,Cr:1285.3,Ti:1128.8,W_:716.8,Nb:523.3,S :154.6,,,,,,,,,,,,,,,
C_:2466.1,Zr:2454.1,Cr:1282.6,W_:270.3,S :173.6,,,,,,,,,,,,,,,,,,,
Mo:8248.6,Pt:7078.4,Fe:2394.0,Nb:1613.0,Cr:1267.0,Ta:253.1,S :215.9,Ta:178.7,Au:170.5,,,,,,,,,,,,,,,
Ti:3980.6,Mo:2093.6,Pt:1737.0,Zr:1323.5,Cr:1264.0,W_:1073.6,V_:191.9,,,,,,,,,,,,,,,,,
Fe:3673.9,V_:2974.9,Cr:1253.0,Ta:322.9,Ni:262.5,,,,,,,,,,,,,,,,,,,
Au:2812.9,Nb:2308.3,K_:1826.5,Mo:1677.8,Cr:1231.3,Pt:1097.6,Ti:514.2,Co:439.4,Zn:217.6,S :212.3,Zn:184.9,W_:156.4,,,,,,,,,,,,
W_:1285.0,Cr:1226.0,Zr:541.5,Ta:357.0,Ta:325.4,Nb:259.6,Ni:216.6,S :195.5,S :166.4,,,,,,,,,,,,,,,
Ni:3314.4,Mo:2089.8,Co:2004.3,Pd:1683.4,Pt:1203.8,Cr:1182.6,Ta:489.7,Nb:440.4,In:172.4,,,,,,,,,,,,,,,
Cr:1167.2,Ti:979.7,Mo:651.0,Pt:543.0,Zr:462.7,S :461.3,W_:358.2,K_:286.4,Nb:251.7,P :248.9,,,,,,,,,,,,,,
Cr:1155.7,V_:861.8,Zr:475.3,Ag:417.4,Mo:251.0,,,,,,,,,,,,,,,,,,,
Cr:1154.1,Nb:668.9,S :439.5,S :340.9,Zr:255.4,P :250.9,Ta:250.9,Pt:225.2,Mo:207.1,Mo:179.2,Pb:158.2,Au:150.9,,,,,,,,,,,,
Cr:1153.4,Ti:726.8,W_:612.7,W_:596.7,Mo:257.5,Zr:248.8,Pt:217.0,S :201.9,Zr:161.9,P :160.6,K_:157.2,,,,,,,,,,,,,
Nb:6615.0,Pb:4889.1,Cr:1095.4,Ti:683.5,V_:627.5,W_:320.4,Co:298.7,P :201.7,,,,,,,,,,,,,,,,
Mo:5128.2,Pt:3989.0,Ta:1644.0,Cr:1033.2,Zr:840.9,Nb:808.6,W_:615.9,V_:507.0,Ti:217.3,Bi:185.5,S :183.0,,,,,,,,,,,,,
Ta:1117.2,Cr:1030.3,Mo:1001.2,C_:777.8,V_:732.0,Nb:718.8,Pt:676.3,P :225.4,S :218.5,,,,,,,,,,,,,,,
Nb:4808.4,Cr:1022.6,W_:854.6,Zr:694.8,V_:360.4,S :352.0,Ta:335.3,K_:253.5,P :202.8,,,,,,,,,,,,,,,
Ca:9249.6,Ge:3249.6,C_:2173.8,Zr:2065.2,Ti:1179.5,Cr:1011.2,W_:808.7,Mo:437.2,S :424.9,K_:405.0,P :366.4,Fe:267.3,V_:246.6,Pt:163.9,,,,,,,,,,
V_:3672.9,Nb:3080.0,Mo:2393.9,Pt:1904.0,Ti:1786.7,Nb:1564.6,Cr:1006.1,Ta:951.7,Zr:639.1,W_:591.1,Ni:474.8,,,,,,,,,,,,,
Ta:1567.6,Cr:992.0,Nb:608.8,S :427.8,V_:294.5,Fe:282.0,P :166.8,,,,,,,,,,,,,,,,,
Nb:2977.9,Mo:1366.3,Pt:1113.8,Zr:1081.7,Cr:969.4,Ta:641.1,S :525.8,K_:350.0,W_:282.2,P :241.6,,,,,,,,,,,,,,
Cr:954.2,W_:871.5,V_:788.2,Zr:686.5,V_:434.4,S :288.2,Co:184.4,,,,,,,,,,,,,,,,,
Fe:1108.6,Ta:993.3,Cr:944.6,Nb:571.0,Mo:223.7,,,,,,,,,,,,,,,,,,,
Co:5663.2,Mo:2986.6,V_:1336.0,Zr:1107.6,Bi:949.3,Cr:941.4,Ta:646.2,W_:598.9,Ti:470.4,S :344.2,P :305.0,Pb:178.3,,,,,,,,,,,,
Nb:3310.2,Cr:918.4,W_:430.5,Ta:324.3,V_:291.6,,,,,,,,,,,,,,,,,,,
Mo:8651.9,Pt:7653.7,C_:3028.4,Zr:1914.0,Nb:1825.0,Co:1552.6,Cr:916.5,S :263.7,Au:162.4,P :155.4,,,,,,,,,,,,,,
Nb:3219.7,V_:1037.8,Cr:896.4,W_:744.7,Mo:517.7,Pt:407.9,S :276.5,K_:222.8,Ti:215.9,,,,,,,,,,,,,,,
Zr:1678.3,Ti:1248.5,Cr:888.8,Ta:887.1,Mo:476.7,Pt:337.7,S :277.2,K_:251.3,P :205.8,,,,,,,,,,,,,,,
Mo:1438.4,Zr:1131.0,Pt:905.1,Cr:887.2,V_:476.3,W_:471.2,Nb:378.1,Ta:364.3,S :235.9,,,,,,,,,,,,,,,
Nb:1114.5,Cr:862.3,Ta:852.2,Zr:423.1,Co:386.0,K_:208.5,Pt:191.3,S :174.8,,,,,,,,,,,,,,,,
Cr:858.5,Mo:653.5,Pt:524.2,,,,,,,,,,,,,,,,,,,,,
Nb:1739.6,Mo:1132.6,Cr:851.2,Pt:750.9,Ti:431.3,C_:293.5,Ta:263.2,K_:191.3,S :189.8,,,,,,,,,,,,,,,
W_:4002.8,Ti:2021.5,Nb:1428.7,Zr:1323.2,Cr:836.3,Fe:752.8,Zr:499.1,Ta:246.9,Pt:222.9,Ag:198.6,,,,,,,,,,,,,,
Nb:1912.0,Ta:1568.1,Cr:831.1,W_:441.2,Co:363.9,Zr:285.0,,,,,,,,,,,,,,,,,,
Fe:3924.7,Cr:823.5,Mo:763.6,Pt:627.1,Nb:495.7,C_:270.6,Ta:192.2,K_:150.3,,,,,,,,,,,,,,,,
Co:6878.8,Nb:2803.4,Pd:2669.3,Cr:820.2,Fe:699.2,W_:534.0,Ti:306.0,Ta:210.2,S :166.4,,,,,,,,,,,,,,,
Fe:3299.7,W_:2759.3,Co:1408.0,Nb:966.9,Cr:817.0,V_:596.2,Zr:202.8,,,,,,,,,,,,,,,,,
Cr:804.6,Nb:801.6,V_:686.6,S :310.2,Zr:281.2,Mo:275.1,Pt:176.3,,,,,,,,,,,,,,,,,
Mo:4752.7,Fe:4143.0,Pt:4127.1,Nb:2967.7,Zr:934.7,Ti:812.5,Cr:793.6,Ta:293.0,S :165.9,,,,,,,,,,,,,,,
Fe:1934.7,Nb:1845.2,C_:1206.5,Zr:1076.5,Cr:782.4,V_:401.1,,,,,,,,,,,,,,,,,,
Au:3899.8,W_:1461.1,Ta:1324.6,Ti:859.5,Cr:757.0,Nb:755.1,Co:690.7,S :346.4,V_:336.4,K_:279.0,P :201.7,,,,,,,,,,,,,
Ni:3151.5,Mo:1887.1,Pt:1335.8,Cr:750.9,Zr:641.1,Ta:628.8,Zn:293.4,K_:277.7,Cd:212.2,,,,,,,,,,,,,,,
Ca:1446.2,Mo:1003.1,Cr:709.5,Pt:650.4,W_:491.5,Ti:393.1,Ta:374.8,K_:162.7,S :158.5,P :150.7,,,,,,,,,,,,,,
Mo:1510.5,Ti:1219.6,Pt:1036.4,Cr:709.2,In:340.7,Ca:331.5,V_:160.8,,,,,,,,,,,,,,,,,
